candidate_id,candidate_index,source_seed,source_noise_sha256,hard_model_sha256,predicted_observation_sha256,condition_violations,model_chunk,prediction_chunk,chunk_offset,batch_seconds
candidate_000024,24,9311024,196f254d97a143ad7f6f3e18941baad7b501b24034f740b7c03285e9c5d6620c,4c5417ee3d6350b67a77494595f4e1e15bc8f7ec5e0db524a0a13dbef67206e0,9834e1bb4a43ef247481d04fe0638a1076d9ca520b2026f039555e7a0c71d7e2,0,cache/models_000024_000027.pt.gz,cache/predictions_000024_000027.pt.gz,0,11.773533646948636
candidate_000025,25,9311025,430e80e30644245ea7d23668ac9506b54e34ae7eba22e64152eb6d65342fa027,e28d1dbebe6b29e08366b3d02919e50ca2b4d2e81ad6d06d1a624340066d3b2a,a2caa5624d1117011fbaa9c47068ced4a895be3a3f6cf13232a80159532a4a1e,0,cache/models_000024_000027.pt.gz,cache/predictions_000024_000027.pt.gz,1,11.773533646948636
candidate_000026,26,9311026,3b8b87338149f5e18a2095e14596b4bf3b91edf7cc843581657716969c77b1e5,c2f8f9e66e242eba0f82533dbac87ae0973026a45dd4a7b3817dda9335e1ece1,19fc6a01af5626a6bcfbd7da84b0a16d4427a62242581632134b13447a23afa0,0,cache/models_000024_000027.pt.gz,cache/predictions_000024_000027.pt.gz,2,11.773533646948636
candidate_000027,27,9311027,05301cebe55424af1c7e8b2fc8e2b9b0316fafaeb67f5d316c337efe80941206,132569b1f935d99fdb72fda08312e7b3946d9dace352c5ea8a13edfe3050ff22,e20f4c62375c8d23ab8894d724401a3ffe7c3c75ac5e6bb41b1141f348fe42ca,0,cache/models_000024_000027.pt.gz,cache/predictions_000024_000027.pt.gz,3,11.773533646948636
candidate_000028,28,9311028,66f4f706ae13c7046ad3aafd4821d13f770ceca4b6f82e805e249d4f572315d3,8dd5735c51511c71270665f308987345d78ef27282f3a8dae6880f4f8b8f5fe7,da40712b4a0a07c4f89bd2f65cbddf956965e4267829a9b0b209f012268ad0c4,0,cache/models_000028_000031.pt.gz,cache/predictions_000028_000031.pt.gz,0,11.774139028973877
candidate_000029,29,9311029,3e28cbef11928beca82022d06af5298d1e2202a558214fcea52a5d7e38bf1e13,e7f88994aa6773d94c34a2f07307821ed6808e0944eb8e61ad1bc9a158d74be6,f2c25110916a50f5227f80123e8f662df7081de0ed10474e0fc98e0eb0311cd8,0,cache/models_000028_000031.pt.gz,cache/predictions_000028_000031.pt.gz,1,11.774139028973877
candidate_000030,30,9311030,1ab2b0c05b6398d3cb9fc2100919d2ec53da607b7a87f66f44ea51e781dc57b8,9d068670f9ab00d0cb2d6042353cf9fe4fcabf6338b2a6855cd7e9c7d72cf7da,1d1eee9bcf9b442ca30cf8b951aad37b4dfcf6ab15d4f6ff1747dc207c27c87e,0,cache/models_000028_000031.pt.gz,cache/predictions_000028_000031.pt.gz,2,11.774139028973877
candidate_000031,31,9311031,4010d7597503f776eec3707b37849702f84adecd10900605861d5613740adee8,ab3a961cff5c77d9436c617ce4f83de8e1710a7d712de81f8f514dc02a717085,c715f8d5ac1e6a81387a460822cf971e85b7550f5d25e4169688516f9368da9a,0,cache/models_000028_000031.pt.gz,cache/predictions_000028_000031.pt.gz,3,11.774139028973877
candidate_000032,32,9311032,c3cf97e0cefb73a776734cb930ce9c7df58208c1a467e9fb90baa904149e31f0,a3478345de4b95d4a71494e5ba6ffe8579934221ddf717c8d086181249861e9b,57472925d61120694e91f869c4d7898d886242ef03f0a5c06faf4377bb34283c,0,cache/models_000032_000035.pt.gz,cache/predictions_000032_000035.pt.gz,0,11.777363643981516
candidate_000033,33,9311033,8198bc75037e2ddb9aca41bd2c4ca60c0cd3db62b94a7b91ff4971a772473f9f,fb534ffa3b56aab14d81f17e7a592d5d1f9a45f972c504196b66df86ccc8f737,ce41a7f64696ae568995557c97fc8e1bf372564cce17081bdf7da5b1746d5c2d,0,cache/models_000032_000035.pt.gz,cache/predictions_000032_000035.pt.gz,1,11.777363643981516
