sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,retrospective_only,used_for_ranking
38,9,True,1827,19388,17561,9.611932129173509,0.04843093649617,0.050546729936042915,0.5363984674329502,candidate_000038,True,False
39,0,True,227549,210167,-17382,0.076387942816712,0.916142814617661,0.9957795467414009,0.9197139956668674,candidate_000039,True,False
39,9,True,1827,17005,15178,8.30760810071155,0.052478622925166266,0.05521905321964128,0.5139573070607554,candidate_000039,True,False
40,0,True,227549,214289,-13260,0.05827316314288351,0.9335524329244544,0.9955107355020556,0.9374991760016524,candidate_000040,True,False
40,9,True,1827,12928,11101,6.07608100711549,0.061587164544211814,0.06621287128712872,0.46852764094143406,candidate_000040,True,False
41,0,True,227549,210585,-16964,0.07455097583377646,0.9169069359432629,0.9951848422252297,0.920992841102356,candidate_000041,True,False
41,9,True,1827,16407,14580,7.980295566502463,0.04648760330578512,0.04936917169500823,0.4433497536945813,candidate_000041,True,False
42,0,True,227549,211283,-16266,0.07148350465174534,0.9238410886357857,0.9973826573836987,0.9260862495550409,candidate_000042,True,False
42,9,True,1827,15560,13733,7.516694033935413,0.07036444225560207,0.07345758354755784,0.625615763546798,candidate_000042,True,False
43,0,True,227549,202931,-24618,0.10818768704762491,0.8849121209202127,0.9958951564817599,0.8881515629600657,candidate_000043,True,False
43,9,True,1827,21722,19895,10.88943623426382,0.04402376307856003,0.04571402264984808,0.5435139573070608,candidate_000043,True,False
44,0,True,227549,208629,-18920,0.08314692659602986,0.9106312146830785,0.9964482406568598,0.9135966319342208,candidate_000044,True,False
44,9,True,1827,17538,15711,8.599343185550081,0.05842807170966331,0.06095335842171285,0.585112205801861,candidate_000044,True,False
45,0,True,227549,210229,-17320,0.07611547402976941,0.9167582477724994,0.9959758168473427,0.9201666454258204,candidate_000045,True,False
45,9,True,1827,17362,15535,8.503010399562124,0.053067720338052904,0.05569634834696464,0.5292829775588396,candidate_000045,True,False
46,0,True,227549,212999,-14550,0.063942271774431,0.9280253132426246,0.9955492748792247,0.9318915925800597,candidate_000046,True,False
46,9,True,1827,15440,13613,7.451012588943623,0.05331543951686696,0.05660621761658031,0.4783798576902025,candidate_000046,True,False
47,0,True,227549,203630,-23919,0.10511582120773987,0.8902654479296815,0.9972695575308157,0.8924407490254846,candidate_000047,True,False
47,9,True,1827,22327,20500,11.220580186097427,0.05356363953589811,0.05500067183231065,0.6721401204159825,candidate_000047,True,False
48,0,True,227549,213199,-14350,0.06306334020364844,0.9297366877118013,0.9960178049615618,0.9332055952783797,candidate_000048,True,False
48,9,True,1827,14709,12882,7.050903119868637,0.06286155032780563,0.06648990414032226,0.535303776683087,candidate_000048,True,False
49,0,True,227549,204010,-23539,0.10344585122325302,0.8899759570116624,0.9961178373609136,0.8930735797564481,candidate_000049,True,False
49,9,True,1827,17613,15786,8.64039408866995,0.05120856540312551,0.05376710384375177,0.518336070060208,candidate_000049,True,False
50,0,True,227549,210201,-17348,0.07623852444967898,0.9169797770128835,0.9961703322058411,0.9202237759779213,candidate_000050,True,False
50,9,True,1827,16570,14743,8.06951286261631,0.058759208103130754,0.061617380808690406,0.5588396278051451,candidate_000050,True,False
51,0,True,227549,210465,-17084,0.075078334776246,0.9171200350147719,0.9956002185636567,0.9208522120510307,candidate_000051,True,False
51,9,True,1827,15649,13822,7.565407772304324,0.05416817468934733,0.05738385839350757,0.4915161466885605,candidate_000051,True,False
52,0,True,227549,211232,-16317,0.0717076322022949,0.921444210895078,0.9961606196030904,0.9247283002781819,candidate_000052,True,False
52,9,True,1827,15434,13607,7.447728516694034,0.06254232071406586,0.06582868990540365,0.5561029009304871,candidate_000052,True,False
53,0,True,227549,211183,-16366,0.07192297043713662,0.9197416610877014,0.9953215931206584,0.9237351076031975,candidate_000053,True,False
53,9,True,1827,16044,14217,7.781609195402299,0.049198614454294604,0.052231363749688356,0.45867542419266555,candidate_000053,True,False
54,0,True,227549,209097,-18452,0.08109022672039869,0.9112161600245114,0.9956192580477004,0.9148842666854172,candidate_000054,True,False
54,9,True,1827,16466,14639,8.012588943623426,0.05222893298820822,0.05514393295275112,0.4969896004378763,candidate_000054,True,False
55,0,True,227549,218971,-8578,0.037697375070863855,0.9542810624860493,0.9957345949920309,0.9581980144935816,candidate_000055,True,False
55,9,True,1827,9894,8067,4.415435139573071,0.08217154464038408,0.0899535071760663,0.4871373836891078,candidate_000055,True,False
56,0,True,227549,209782,-17767,0.07807988609046843,0.914130648867491,0.9955858939279824,0.9178506607368083,candidate_000056,True,False
56,9,True,1827,15916,14089,7.7115489874110565,0.05343466128361931,0.056546871073133956,0.49261083743842365,candidate_000056,True,False
57,0,True,227549,207545,-20004,0.08791073570967133,0.9046731017576116,0.9957310462791202,0.9081955974317619,candidate_000057,True,False
57,9,True,1827,18556,16729,9.156540777230433,0.04834644859332408,0.05065746928217288,0.5145046524356869,candidate_000057,True,False
58,0,True,227549,211399,-16150,0.07097372434069145,0.9209221518627275,0.995458824308535,0.9248074041195523,candidate_000058,True,False
58,9,True,1827,14938,13111,7.176245210727969,0.054336205270108795,0.0578390681483465,0.4729064039408867,candidate_000058,True,False
59,0,True,227549,201666,-25883,0.11374692923282458,0.8799328994279808,0.9962065990300795,0.8828911575089321,candidate_000059,True,False
59,9,True,1827,25538,23711,12.978106185002737,0.040375622552560546,0.04158508888714856,0.5812807881773399,candidate_000059,True,False
60,0,True,227549,216838,-10711,0.04707118027325983,0.944247806969571,0.9953144744002435,0.9484638473471648,candidate_000060,True,False
60,9,True,1827,10748,8921,4.882868089764641,0.06884827879303017,0.0753628582061779,0.4433497536945813,candidate_000060,True,False
61,0,True,227549,209300,-18249,0.08019811117605438,0.9130090165836826,0.9961395126612518,0.9162510052779841,candidate_000061,True,False
61,9,True,1827,16699,14872,8.140120415982485,0.05820528931284629,0.061021618060961735,0.5577449370552818,candidate_000061,True,False
62,0,True,227549,215487,-12062,0.05300836303389599,0.939168457589061,0.9957398822202731,0.9429573410562121,candidate_000062,True,False
62,9,True,1827,11681,9854,5.393541324575807,0.07112837998572674,0.07679137060183204,0.4909688013136289,candidate_000062,True,False
63,0,True,227549,207959,-19590,0.08609134735815144,0.9078133487532636,0.996504118600301,0.910713736382054,candidate_000063,True,False
63,9,True,1827,19106,17279,9.457580733442802,0.05370985603543743,0.055846330995498794,0.5840175150519978,candidate_000063,True,False
64,0,True,227549,211367,-16182,0.07111435339201666,0.9217660863778065,0.9960116763733222,0.9251809500371349,candidate_000064,True,False
64,9,True,1827,15789,13962,7.642036124794745,0.05916305916305916,0.062321869656089685,0.5385878489326765,candidate_000064,True,False
65,0,True,227549,208352,-19197,0.08436424682156371,0.9085066046698979,0.995920365535248,0.9119002940026104,candidate_000065,True,False
65,9,True,1827,19035,17208,9.41871921182266,0.04676367285499247,0.04896243761491988,0.5101258894362343,candidate_000065,True,False
66,0,True,227549,222322,-5227,0.02297087660240212,0.9685941082774676,0.9956144691033726,0.972744331990033,candidate_000066,True,False
66,9,True,1827,6287,4460,2.441160372194855,0.11701541850220264,0.13519961825990137,0.4652435686918446,candidate_000066,True,False
67,0,True,227549,209369,-18180,0.07989487978413441,0.9139313921755015,0.9964942278942919,0.9168794413510936,candidate_000067,True,False
67,9,True,1827,18485,16658,9.11767925561029,0.056815816857440166,0.05907492561536381,0.5977011494252874,candidate_000067,True,False
68,0,True,227549,202097,-25452,0.11185283169778817,0.8812768193361941,0.9958881131337922,0.8844952076256103,candidate_000068,True,False
68,9,True,1827,21882,20055,10.977011494252874,0.043116723129042196,0.044785668586052464,0.5363984674329502,candidate_000068,True,False
69,0,True,227549,202771,-24778,0.10889083230425095,0.8845251024769646,0.9960793210074419,0.8876154147018884,candidate_000069,True,False
69,9,True,1827,23477,21650,11.850027367268746,0.04123117438893918,0.04268006985560335,0.548440065681445,candidate_000069,True,False
70,0,True,227549,217144,-10405,0.04572641496996251,0.945705772453413,0.9953855506023652,0.9498701378604169,candidate_000070,True,False
70,9,True,1827,10663,8836,4.836343732895457,0.07072438919845692,0.0773703460564569,0.451559934318555,candidate_000070,True,False
71,0,True,227549,210322,-17227,0.07570677084935552,0.9171402551686092,0.9959633324141078,0.9205621646326725,candidate_000071,True,False
71,9,True,1827,15296,13469,7.3721948549534755,0.060576029730566736,0.06393828451882845,0.535303776683087,candidate_000071,True,False
72,0,True,227549,207719,-19830,0.0871460652430905,0.9048344252036042,0.9953880001347974,0.9086438525328611,candidate_000072,True,False
72,9,True,1827,17468,15641,8.561029009304871,0.04716161945077608,0.04974811083123426,0.4756431308155446,candidate_000072,True,False
73,0,True,227549,204058,-23491,0.1032349076462652,0.8902192811502297,0.9961383528212567,0.8933021019648515,candidate_000073,True,False
73,9,True,1827,23345,21518,11.777777777777779,0.042966645949865344,0.04442064681944742,0.5675971538040504,candidate_000073,True,False
74,0,True,227549,216115,-11434,0.05024851790163877,0.9419767136479034,0.9957846516900725,0.9457479487934467,candidate_000074,True,False
74,9,True,1827,11572,9745,5.333880678708265,0.07329381608458828,0.07907016937435188,0.5008210180623974,candidate_000074,True,False
75,0,True,227549,205195,-22354,0.09823818166636636,0.8949912857655827,0.9960379151538781,0.8981889614984025,candidate_000075,True,False
75,9,True,1827,21740,19913,10.89928845101259,0.04352639036486008,0.045216191352345905,0.5380405035577449,candidate_000075,True,False
76,0,True,227549,209056,-18493,0.0812704076924091,0.911120351929264,0.9956662329710699,0.9147480322919459,candidate_000076,True,False
76,9,True,1827,17577,15750,8.620689655172415,0.0497727764553127,0.05234112760994481,0.5035577449370553,candidate_000076,True,False
77,0,True,227549,202679,-24870,0.10929514082681092,0.8839159430570699,0.9959541935770356,0.8871012397329806,candidate_000077,True,False
77,9,True,1827,24474,22647,12.395730706075534,0.03821102909248806,0.039552177821361445,0.5298303229337712,candidate_000077,True,False
78,0,True,227549,205615,-21934,0.096392425367723,0.8973539086899198,0.996352406196046,0.9003115812418424,candidate_000078,True,False
78,9,True,1827,20939,19112,10.460864805692392,0.04498301661617553,0.046802617125937244,0.5363984674329502,candidate_000078,True,False
79,0,True,227549,213711,-13838,0.060813275382445096,0.9323929598991018,0.9962566269401201,0.9356709983344247,candidate_000079,True,False
79,9,True,1827,12491,10664,5.836891078270389,0.07629857926783433,0.08125850612440957,0.5555555555555556,candidate_000079,True,False
80,0,True,227549,215561,-11988,0.05268315835270645,0.939076476045441,0.9955140308311801,0.9430672075025599,candidate_000080,True,False
80,9,True,1827,11572,9745,5.333880678708265,0.06841559684235707,0.0741444866920152,0.4696223316912972,candidate_000080,True,False
81,0,True,227549,206021,-21528,0.0946081942790344,0.8978188455595583,0.9955926822993773,0.9014014563896128,candidate_000081,True,False
81,9,True,1827,20817,18990,10.394088669950738,0.04230149597238205,0.044146610942979295,0.5030103995621237,candidate_000081,True,False
82,0,True,227549,195833,-31716,0.13938096849469783,0.8548722037729898,0.99639999387233,0.8575207977182936,candidate_000082,True,False
