branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_c947faeebdb8632a2ad2,2,12,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,2,4.919147613691166e-05,g001_p000019_empty,g002_p000012_g001_p000019_empty,9.0,9.0,10.0,dike_hemisphere,9,155.837559428072,8.832590923333704,8.816538245480096,13.91787410797848,2.208147730833426,2.204134561370024,3.47946852699462,0.01772972382605076,9.745173156261444e-05,9.745173156261444e-05,False,False,,,0,False
v4_branch_8e69c246f0095e072ba4,2,18,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,3,4.919147613691166e-05,g001_p000019_empty,g002_p000018_g001_p000019_empty,9.0,9.0,11.0,ellipsoid,9,58.167143564868404,14.336745936744984,7.872529054635531,7.212125369350267,3.584186484186246,1.9681322636588827,1.8030313423375668,0.017659755423665047,2.748332917690277e-05,2.748332917690277e-05,False,False,,,0,False
v4_branch_35e9b9b972dea1c23345,2,24,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,4,4.919147613691166e-05,g001_p000021_empty,g002_p000024_g001_p000021_empty,9.0,10.0,9.0,ellipsoid,9,4.25876769425908,13.168068139905522,6.144377121481227,8.120583137588348,3.2920170349763804,1.5360942803703068,2.030145784397087,0.0176724661141634,4.019401967525482e-05,4.019401967525482e-05,False,False,,,0,False
v4_branch_2c25914e13494b2067e3,2,30,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,5,4.919147613691166e-05,g001_p000021_empty,g002_p000030_g001_p000021_empty,9.0,10.0,10.0,ellipsoid,9,17.381612309322264,9.766036215716962,12.923290340553033,7.5334905488754815,2.4415090539292406,3.230822585138258,1.8833726372188704,0.017766792327165604,0.00013452023267745972,0.00013452023267745972,False,False,,,0,False
v4_branch_405cad8684f5adbd343c,2,36,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,6,4.919147613691166e-05,g001_p000036_empty,g002_p000036_g001_p000036_empty,9.0,10.0,11.0,dike_hemisphere,9,89.98025923819299,12.715708384666636,9.276182788632205,7.814134726516991,3.178927096166659,2.3190456971580513,1.9535336816292477,0.01765824481844902,2.5972723960876465e-05,2.5972723960876465e-05,False,False,,,0,False
v4_branch_20439d5955f94a9536eb,2,42,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,7,4.919147613691166e-05,g001_p000036_empty,g002_p000042_g001_p000036_empty,10.0,9.0,9.0,ellipsoid,9,133.09682186444553,12.616594953443904,10.921203778661383,10.25701169109001,3.154148738360976,2.7303009446653457,2.5642529227725026,0.01776522770524025,0.0001329556107521057,0.0001329556107521057,False,False,,,0,False
v4_branch_a69a29a86c996aadbb04,2,48,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,8,4.919147613691166e-05,g001_p000037_empty,g002_p000048_g001_p000037_empty,10.0,9.0,10.0,dike_hemisphere,9,75.36732187665955,8.652869470251796,13.658776598231642,10.37462559202005,2.163217367562949,3.4146941495579104,2.5936563980050127,0.017735805362462997,0.00010353326797485352,0.00010353326797485352,False,False,,,0,False
v4_branch_9a3b1e1ce20414f262a7,2,54,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,9,4.919147613691166e-05,g001_p000037_empty,g002_p000054_g001_p000037_empty,10.0,9.0,11.0,dike_hemisphere,9,102.21213546041847,14.679862672792707,7.818012992517887,9.222380027945759,3.6699656681981767,1.9545032481294717,2.3055950069864397,0.017635677009820938,3.4049153327941895e-06,3.4049153327941895e-06,False,False,,,0,False
v4_branch_cb4de1743911bf2eea12,2,60,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,10,4.919147613691166e-05,g001_p000038_empty,g002_p000060_g001_p000038_empty,25.0,9.0,29.0,dike_hemisphere,9,135.04448614653825,13.33858174270395,9.039671954094683,10.73394221589976,3.3346454356759874,2.2599179885236707,2.68348555397494,0.017746245488524437,0.00011397339403629303,0.00011397339403629303,False,False,,,0,False
v4_branch_fe21fb7bcb0f080900ad,2,66,new_center,parent_to_0.25,0.0,0.25,g002_dff5d949e25fbcab_0001,11,4.919147613691166e-05,g001_p000038_empty,g002_p000066_g001_p000038_empty,25.0,9.0,30.0,dike_hemisphere,9,164.43682481441192,13.351806731592983,9.16509343392218,7.050024531704564,3.337951682898246,2.291273358480545,1.762506132926141,0.01774323359131813,0.00011096149682998657,0.00011096149682998657,False,False,,,0,False
