step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
45,0.2,0.3205570876598358,0.0572228766977787,23.8355655670166,0.4498315751552582,-57.69066652772875,-0.10762695757525953,-57.583039570153495,18853.80078125,0.20778702199459076,0,160324,0,3,2.0517737865448,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,0.2,3.0811524391174316,0.20028311014175415,23.533767700195312,0.3830324411392212,-56.947545165217484,0.056853540605216524,-57.0043987058227,18189.181640625,0.20753653347492218,0,161766,0,3,2.06255841255188,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,0.2,3.4411611557006836,0.18854334950447083,23.250991821289062,0.24775981903076172,-56.25126192560609,0.38993732383565505,-56.64119924944174,17663.8984375,0.20724989473819733,0,161242,0,3,2.076493978500366,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,0.2,0.5267841219902039,0.06960773468017578,23.09151840209961,0.8488926291465759,-55.85858816087543,-1.0902409080668867,-54.76834725280854,17345.734375,0.20705249905586243,0,157661,0,3,2.0839688777923584,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,0.2,0.3514743447303772,0.03173362463712692,22.898588180541992,0.1947222203016281,-55.38353321557856,0.5205325896241264,-55.904065805202684,17057.224609375,0.2068212479352951,0,161032,0,2,2.089534282684326,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,0.2,0.5632207989692688,0.08095859736204147,22.83789825439453,0.18933671712875366,-55.23409551051978,0.5337933939425517,-55.76788890446233,16928.306640625,0.2067246437072754,0,160712,0,3,2.0881171226501465,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,0.2,0.2239437699317932,0.05196297541260719,22.790529251098633,0.25012096762657166,-55.11745811132009,0.38412343263724946,-55.50158154395734,16840.05859375,0.20665493607521057,0,160061,0,2,2.0933423042297363,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
80,0.2,0.08800654113292694,0.013119932264089584,22.748966217041016,0.18774162232875824,-55.015116836266316,0.5377210195205322,-55.55283785578685,16775.720703125,0.20659711956977844,0,160339,0,2,2.093332529067993,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
85,0.2,0.26412999629974365,0.0572783499956131,22.72189712524414,0.12254379689693451,-54.94846421015631,0.6982585918300104,-55.64672280198632,16735.068359375,0.20655904710292816,0,160908,0,2,2.093557596206665,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
90,0.2,0.4239497780799866,0.10246525704860687,22.72426986694336,0.466021865606308,-54.954306647225145,-0.14749254982134974,-54.806814097403795,16723.384765625,0.20655494928359985,0,158397,0,2,2.0952367782592773,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
95,0.2,0.5379127860069275,0.11461593210697174,22.671497344970703,0.2355658859014511,-54.82436408386469,0.419962626190726,-55.24432671005541,16672.765625,0.20649315416812897,0,160576,0,2,2.0944268703460693,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
100,0.2,0.435042142868042,0.0763656422495842,22.662508010864258,0.1391044706106186,-54.80222951320118,0.6574809993843191,-55.4597105125855,16653.203125,0.20647698640823364,0,160712,0,2,2.0942370891571045,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
105,0.1,0.9999995231628418,0.39690208435058594,20.426267623901367,0.3060995638370514,-49.29590164956972,0.24628650514155892,-49.54218815471128,12657.958984375,0.18345771729946136,0,161560,0,2,2.0999348163604736,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
