step,tau,total_loss,seismic_loss,seismic_rmse_amplitude,tv_loss,gradient_norm,target_voxels,condition_violations
19,0.8979545538885603,59.69965744018555,59.698570251464844,0.07726485282182693,0.10876118391752243,1.5027036666870117,106637,0
20,0.8875157779635345,58.359188079833984,58.358070373535156,0.07639244943857193,0.111900195479393,1.460148811340332,106894,0
21,0.8766619106346388,57.7210693359375,57.71991729736328,0.07597362250089645,0.11503107100725174,1.4216904640197754,107079,0
22,0.8654101140970826,56.8099479675293,56.80876541137695,0.07537158578634262,0.11816003173589706,1.3708945512771606,107254,0
23,0.8537781797539467,56.24134826660156,56.240135192871094,0.07499342411756516,0.12127618491649628,1.3612263202667236,107495,0
24,0.8417845000843182,56.002166748046875,56.00092315673828,0.07483376562595367,0.12439016252756119,1.440843105316162,107853,0
25,0.8294480395610004,55.3280029296875,55.32672882080078,0.07438194006681442,0.1275176852941513,1.3618407249450684,108235,0
26,0.8167883046637834,54.74225616455078,54.74094772338867,0.07398712635040283,0.13066157698631287,1.3686370849609375,108364,0
27,0.8038253130356898,53.97737503051758,53.976036071777344,0.07346838712692261,0.13383165001869202,1.3354638814926147,108653,0
28,0.790579561830967,53.50053405761719,53.49916458129883,0.0731431245803833,0.13703465461730957,1.3398984670639038,108914,0
29,0.7770719953048727,53.00996017456055,53.0085563659668,0.07280697673559189,0.14026102423667908,1.297894835472107,109250,0
30,0.763323971696503,53.038482666015625,53.03704833984375,0.07282653450965881,0.14351166784763336,1.3467334508895874,109587,0
31,0.7493572294570254,52.6958122253418,52.69434356689453,0.07259087264537811,0.14679113030433655,1.3760106563568115,109863,0
32,0.7351938528767203,52.25375747680664,52.25225830078125,0.0722857192158699,0.15009379386901855,1.3495689630508423,110019,0
33,0.720856237165178,52.08917999267578,52.087646484375,0.07217177003622055,0.153432697057724,1.3540940284729004,110290,0
34,0.7063670530398692,52.34905242919922,52.34748458862305,0.07235155999660492,0.15681390464305878,1.4214774370193481,110496,0
35,0.6917492108790815,51.73949432373047,51.737892150878906,0.07192905247211456,0.1602371484041214,1.3350696563720703,110743,0
36,0.6770258244959007,51.78438186645508,51.782745361328125,0.07196022570133209,0.16369938850402832,1.4277325868606567,110970,0
37,0.6622201745905232,51.35047912597656,51.34880828857422,0.07165808230638504,0.16718901693820953,1.4005138874053955,111245,0
38,0.6473556719386825,51.34478759765625,51.34307861328125,0.07165408134460449,0.1707179993391037,1.4291735887527466,111456,0
39,0.6324558203744013,51.56656265258789,51.5648193359375,0.07180865108966827,0.17427736520767212,1.4903318881988525,111560,0
40,0.6175441796255987,51.50398254394531,51.50220489501953,0.07176503539085388,0.17787079513072968,1.4922147989273071,111731,0
41,0.6026443280613176,51.48029327392578,51.478477478027344,0.07174850255250931,0.18150043487548828,1.621529221534729,111913,0
42,0.5877798254094769,51.19772720336914,51.19587707519531,0.07155129313468933,0.18515457212924957,1.6415083408355713,112233,0
43,0.5729741755040995,50.698455810546875,50.69656753540039,0.07120152562856674,0.18883097171783447,1.658535361289978,112294,0
44,0.5582507891209187,50.641441345214844,50.6395149230957,0.07116144150495529,0.19250036776065826,1.6345078945159912,112361,0
45,0.5436329469601308,50.51996612548828,50.51800537109375,0.07107602059841156,0.19615259766578674,1.6695072650909424,112630,0
46,0.5291437628348221,50.18450927734375,50.18251037597656,0.07083961367607117,0.19978764653205872,1.7044332027435303,112894,0
47,0.5148061471232797,50.243892669677734,50.241859436035156,0.07088149338960648,0.2034067064523697,1.6844085454940796,113072,0
48,0.5006427705429746,50.55973434448242,50.55766296386719,0.07110391557216644,0.2070017009973526,1.7846553325653076,113262,0
49,0.4866760283034971,50.432674407958984,50.43056869506836,0.07101448625326157,0.21058015525341034,1.8184058666229248,113439,0
50,0.4729280046951273,50.11790466308594,50.11576461791992,0.07079248875379562,0.21412229537963867,1.9290717840194702,113563,0
51,0.4594204381690332,49.6711311340332,49.6689567565918,0.07047621160745621,0.21761590242385864,1.969849705696106,113769,0
52,0.4461746869643104,50.05058288574219,50.048370361328125,0.07074487209320068,0.22106732428073883,1.8814961910247803,113931,0
