sample_group,sample_index,binary_sha256,target_voxel_count,predicted_voxels,true_positive_voxels,false_positive_voxels,false_negative_voxels,precision,recall,iou,centroid_distance
retained,37,48510c8863cd2d773e725aab6bd947dae1ed15abce3eb4c413c2b61507b5665c,4544,4544,418,4126,8550,0.09198943661971831,0.046610169491525424,0.03192301817626394,16.96192741394043
retained,38,2947680bf1dcfef269647ba261031ccccf60e3c0a0707181044dfe06ec9429c2,4477,4477,469,4008,8499,0.10475765021219567,0.05229705619982159,0.03614364981504316,16.65648651123047
retained,39,739f252c655c4d18748e3bcafe48b8742578a109d24e887a5c54c15cc4160cd0,4199,4199,472,3727,8496,0.1124077161228864,0.05263157894736842,0.037179992122883025,17.29824447631836
retained,40,739f252c655c4d18748e3bcafe48b8742578a109d24e887a5c54c15cc4160cd0,4199,4199,472,3727,8496,0.1124077161228864,0.05263157894736842,0.037179992122883025,17.29824447631836
retained,41,739f252c655c4d18748e3bcafe48b8742578a109d24e887a5c54c15cc4160cd0,4199,4199,472,3727,8496,0.1124077161228864,0.05263157894736842,0.037179992122883025,17.29824447631836
retained,42,a35ccdde9fffff137560812d9c97f31ec14f497cf74f467a2a7d2e460a3577c9,3866,3866,455,3411,8513,0.11769270563890326,0.05073595004460303,0.03675579610630907,16.794160842895508
retained,43,5cc6a567c03ed32b584d00c5fd415975fd725f821adf745afb5b2e021e3a6eb8,3955,3955,448,3507,8520,0.11327433628318584,0.049955396966993755,0.03591182364729459,16.793251037597656
retained,44,48171452582b230e782adb65f36572d1c33ad96a4a264274ba3dba6772d5ed54,3715,3715,437,3278,8531,0.11763122476446837,0.048728813559322036,0.035685121672382816,17.468149185180664
retained,45,9d333137c0a52a20d8625cb126a42359cb749476247274fa55d67d3bf53be588,3407,3407,405,3002,8563,0.11887290871734664,0.04516057091882248,0.03383458646616541,16.78937530517578
retained,46,65f0c620ae035ee74617a16172a0829b6b268e7947879e8ac7c499f6cf509721,3354,3354,382,2972,8586,0.1138938580799046,0.042595896520963426,0.03199329983249581,16.81970977783203
retained,47,9a1471780f80622aa288eec3da6ab5751887a126cf837652591014dc1d14ee33,3717,3717,381,3336,8587,0.10250201775625505,0.04248438893844782,0.03096553966189857,16.30897331237793
retained,48,9e43c6adfbfda9d050d3cd440fdcab5c8799d54b708da576dcadc441dc4fae7c,2210,2210,254,1956,8714,0.11493212669683257,0.028322925958965208,0.023251556206517757,10.827310562133789
retained,49,52566b114a9ecd658ae73820f2ffa47a8f7aba64b6754f2219b42d98f1150472,2126,2126,252,1874,8716,0.11853245531514581,0.028099910793933987,0.02324294410625346,10.97017765045166
retained,50,314ebd34d7a86a168154567aaa9986bbba0e43d1cad0b0574404b77135b39c58,2277,2277,247,2030,8721,0.10847606499780413,0.02754237288135593,0.022458628841607566,10.851097106933594
retained,51,a1877bc4d3fb3a885c08b24c1efe241c9df0da70e5d0ae1ad0da3d1b87e9009d,2232,2232,220,2012,8748,0.0985663082437276,0.024531668153434435,0.020036429872495445,9.918469429016113
retained,52,95f9e548b235e6a81e76fcc443ce9e05e73883044f563dc04c94cfbe4333da9a,2151,2151,206,1945,8762,0.09576940957694095,0.02297056199821588,0.01887656922935948,9.676759719848633
retained,53,7f4b23149a591bbd8333c9ac219aefdc0a00e80f1ba0bf3520de3dcbd68e0818,2215,2215,221,1994,8747,0.0997742663656885,0.024643175735950044,0.020160554643313264,9.931127548217773
retained,54,e9c85b4a8b3fb4bd3e0d879b673f7ee8510050473f359d457ed0c60a3c230280,2382,2382,213,2169,8755,0.08942065491183879,0.023751115075825155,0.019125437730088894,9.82404899597168
retained,55,dda148b752269cc4145f7071166e477366433a6d12bc6716ac4e1f198d213c98,2444,2444,220,2224,8748,0.09001636661211129,0.024531668153434435,0.019656897784131523,11.027158737182617
retained,56,8bad40eadb925c4a471114ac3c633d4c66bd50921944be5eeffcbc43d231e315,2749,2749,222,2527,8746,0.08075663877773735,0.024754683318465656,0.019312744671596348,12.174274444580078
retained,57,0cbeef9e93dcb806a6efc21c0309ea0bc7acfba128ffa11fab24346f3319186c,2523,2523,217,2306,8751,0.08600871977804202,0.0241971454058876,0.01924782685825794,10.30342960357666
retained,58,aa748dead673022213ad29148437221bfdd8ec3ca29e67e9a04e2350507eddcf,2638,2638,238,2400,8730,0.09021986353297953,0.026538804638715434,0.020935960591133004,10.306981086730957
retained,59,a79a3f98d4d4e2c63a9264d8edb3b0b98d1c052ce5939d72214627cddbe40bae,3076,3076,297,2779,8671,0.09655396618985695,0.033117752007136486,0.02528305099174257,11.116983413696289
