branch_id,generation,evaluation_slot,probe_kind,transition,from_scale,scale,ranking_id,rank_index,canonical_center_score,lineage_parent_state_id,child_state_id,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_lineage_parent,delta_rmse_vs_empty,strictly_improves_lineage_parent,reallocated_existing_slot,displaced_scheduled_move,displaced_scheduled_parent_state_id,condition_violations,truth_used
v4_branch_c94d8163aec6f24b5e9a,1,46,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,46,3.8828267861390486e-05,empty,g001_p000046_empty,44.0,10.0,23.0,dike_hemisphere,9,167.84773150891834,9.71464792751535,13.88654020124672,8.762424870242072,2.4286619818788373,3.47163505031168,2.190606217560518,0.016188984736800194,0.00016343966126441956,0.00016343966126441956,False,False,,,0,False
v4_branch_5fdc2551917e4eb1f59f,1,47,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,47,3.882826058543287e-05,empty,g001_p000047_empty,40.0,10.0,23.0,ellipsoid,9,142.94113060083208,13.207607704890735,8.983645969494155,7.711741334051461,3.301901926222684,2.245911492373539,1.9279353335128653,0.01625601015985012,0.0002304650843143463,0.0002304650843143463,False,False,,,0,False
v4_branch_2cd89680d60cb2f8d59a,1,48,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,48,3.830970308627002e-05,empty,g001_p000048_empty,26.0,9.0,37.0,dike_hemisphere,9,109.4373027380852,10.910344582200215,8.019149855732998,13.251659553215342,2.727586145550054,2.0047874639332495,3.3129148883038355,0.01611163094639778,8.608587086200714e-05,8.608587086200714e-05,False,False,,,0,False
v4_branch_bd13b0082a1116e453c6,1,49,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,49,3.830969944829121e-05,empty,g001_p000049_empty,26.0,11.0,37.0,ellipsoid,9,158.37698652675473,14.837099858579414,7.87063550247967,8.172735469212343,3.7092749646448535,1.9676588756199176,2.0431838673030858,0.01617736741900444,0.00015182234346866608,0.00015182234346866608,False,False,,,0,False
v4_branch_bb4ff0e919167fafd38b,1,50,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,50,3.770899274968542e-05,empty,g001_p000050_empty,40.0,9.0,24.0,ellipsoid,9,160.45319485361247,12.742842103096963,7.386565550929138,12.322721425881152,3.185710525774241,1.8466413877322845,3.080680356470288,0.016063936054706573,3.8390979170799255e-05,3.8390979170799255e-05,False,False,,,0,False
v4_branch_0e63b57ed23c57e884cc,1,51,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,51,3.770897819777019e-05,empty,g001_p000051_empty,44.0,11.0,24.0,dike_hemisphere,9,6.849672046044,11.633855464101003,11.22296874701238,9.050360386963888,2.908463866025251,2.805742186753095,2.262590096740972,0.016243362799286842,0.00021781772375106812,0.00021781772375106812,False,False,,,0,False
v4_branch_0180ab18df8ac6a69935,1,52,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,52,3.7314264773158357e-05,empty,g001_p000052_empty,26.0,9.0,36.0,ellipsoid,9,8.85700064029207,8.033695468812969,7.785465128958963,6.42819076801599,2.008423867203242,1.9463662822397407,1.6070476920039976,0.016124850139021873,9.930506348609924e-05,9.930506348609924e-05,False,False,,,0,False
v4_branch_5a84252c7d3390a62076,1,53,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,53,3.7314264773158357e-05,empty,g001_p000053_empty,26.0,11.0,36.0,ellipsoid,9,140.7528358802147,10.200234862963269,12.513277503955093,10.617810713860845,2.550058715740817,3.1283193759887733,2.654452678465211,0.01619967259466648,0.0001741275191307068,0.0001741275191307068,False,False,,,0,False
v4_branch_396f518d88afb127cf4a,1,54,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,54,3.6481917049968615e-05,empty,g001_p000054_empty,25.0,11.0,37.0,dike_hemisphere,9,58.56313833604211,14.542629420073334,13.31291765998797,10.427217020030968,3.6356573550183335,3.3282294149969927,2.606804255007742,0.01621861383318901,0.0001930687576532364,0.0001930687576532364,False,False,,,0,False
v4_branch_baf57a91606ee809bc52,1,55,new_center,parent_to_0.25,0.0,0.25,g001_b7e43f1d75130653_0000,55,3.648189886007458e-05,empty,g001_p000055_empty,27.0,9.0,37.0,ellipsoid,9,114.21420125858478,7.778402449945703,12.404560916798857,11.588378372284375,1.9446006124864257,3.1011402291997143,2.8970945930710936,0.016261691227555275,0.00023614615201950073,0.00023614615201950073,False,False,,,0,False
