step,cached_state_index,time,total_loss,flow_loss,cross_entropy_loss,dice_loss,residual_regularizer,endpoint_accuracy,used_residual_ratio,gradient_norm_before_clip
13,1,0.4,0.16471238434314728,0.025696517899632454,0.359646737575531,0.19641315937042236,0.008997493423521519,0.9397628307342529,0.0948551669716835,0.10579685866832733
14,2,0.6,0.1003192737698555,0.027756355702877045,0.13805779814720154,0.1521902084350586,0.00917435996234417,0.9779524207115173,0.09578292816877365,0.1257164478302002
15,3,0.8,0.06781590729951859,0.02655537612736225,0.03816952556371689,0.1268693208694458,0.008186828345060349,0.998798131942749,0.09048113226890564,0.1190219298005104
16,0,0.2,0.3018961548805237,0.025769339874386787,0.8164989948272705,0.28800511360168457,0.007763867266476154,0.8696519136428833,0.08811284601688385,0.6247444152832031
17,1,0.4,0.1554570198059082,0.023461977019906044,0.3360166549682617,0.19196033477783203,0.008112850598990917,0.9431041479110718,0.0900714099407196,0.1284024566411972
18,2,0.6,0.09664753824472427,0.025818994268774986,0.1331907957792282,0.15012001991271973,0.008417615666985512,0.9794236421585083,0.09174761176109314,0.08943876624107361
19,3,0.8,0.06721565872430801,0.025881053879857063,0.03855394572019577,0.126781165599823,0.008258886635303497,0.998886227607727,0.0908784568309784,0.10469461232423782
20,0,0.2,0.2784560024738312,0.025457067415118217,0.7370193600654602,0.2749723196029663,0.010207310318946838,0.8791475296020508,0.10103127360343933,0.40240129828453064
21,1,0.4,0.14760874211788177,0.023126672953367233,0.3101344108581543,0.18779027462005615,0.00892855878919363,0.9467096924781799,0.09449110180139542,0.1253887563943863
22,2,0.6,0.09495053440332413,0.025131531059741974,0.13027815520763397,0.1489945650100708,0.008245266042649746,0.9801074266433716,0.09080350399017334,0.07844670861959457
23,3,0.8,0.06634651124477386,0.02511610835790634,0.03814084455370903,0.12677764892578125,0.0077291433699429035,0.9988706707954407,0.08791559189558029,0.08927395194768906
24,0,0.2,0.2605537176132202,0.02363521419465542,0.6796633005142212,0.26800698041915894,0.009652629494667053,0.8837735652923584,0.09824783354997635,0.4630112648010254
25,1,0.4,0.14144857227802277,0.02170497365295887,0.29455339908599854,0.184417724609375,0.008241022005677223,0.9490615725517273,0.090780109167099,0.13275140523910522
26,2,0.6,0.09293002635240555,0.024146532639861107,0.12710240483283997,0.14802849292755127,0.007710570003837347,0.9806358218193054,0.08780989795923233,0.08693099021911621
27,3,0.8,0.06623513996601105,0.025354789569973946,0.03680965304374695,0.1267085075378418,0.00813686940819025,0.9988914132118225,0.0902046412229538,0.08347946405410767
28,0,0.2,0.24536007642745972,0.024070093408226967,0.6239160299301147,0.2612389326095581,0.012309570796787739,0.8902956247329712,0.11094854772090912,0.44950175285339355
29,1,0.4,0.13398604094982147,0.022392764687538147,0.2668091058731079,0.1795598268508911,0.010480917990207672,0.9526567459106445,0.10237640142440796,0.1167912483215332
30,2,0.6,0.09207792580127716,0.02475811541080475,0.12182439118623734,0.1474512815475464,0.008928106166422367,0.981195330619812,0.0944887027144432,0.10494574159383774
31,3,0.8,0.066340371966362,0.025919269770383835,0.035019565373659134,0.12666118144989014,0.009155859239399433,0.9989017844200134,0.09568630158901215,0.0915733277797699
32,0,0.2,0.2297137975692749,0.023916928097605705,0.5694200992584229,0.25376224517822266,0.012745650485157967,0.8972476720809937,0.11289668083190918,0.4796779155731201
33,1,0.4,0.1307474672794342,0.02385636605322361,0.2490321844816208,0.1785268783569336,0.013384860940277576,0.953884482383728,0.11569301784038544,0.12468241900205612
34,2,0.6,0.0912005603313446,0.026934081688523293,0.11061517149209976,0.14644545316696167,0.013257459737360477,0.9818273186683655,0.11514110118150711,0.09421233087778091
35,3,0.8,0.06868789345026016,0.028477387502789497,0.03423279896378517,0.12660402059555054,0.013006873428821564,0.9989069700241089,0.11404774338006973,0.10421884059906006
36,0,0.2,0.21423029899597168,0.026545681059360504,0.5002927780151367,0.25043803453445435,0.01915745437145233,0.8998222947120667,0.1384105086326599,0.3701002895832062
37,1,0.4,0.12926922738552094,0.024951135739684105,0.2387593388557434,0.17850661277770996,0.015906967222690582,0.954014003276825,0.1261228770017624,0.16013477742671967
38,2,0.6,0.09010274708271027,0.026298394426703453,0.10926307737827301,0.14594924449920654,0.012741821818053722,0.9822573065757751,0.11287973821163177,0.10055331885814667
