state,step,layer,left,right,cosine,left_norm,right_norm,norm_ratio_left_over_right,voxelwise_correlation
base_step_12,12,raw_negative_gradient,correct,shuffled_xy,0.850218202978874,1.1038706148278006e-05,1.1238924590128634e-05,0.9821852669047638,0.8502182030508366
base_step_12,12,raw_negative_gradient,zero,shuffled_xy,0.9168861634231241,1.024819261671879e-05,1.1238924590128634e-05,0.9118481518881243,0.9168861634476237
base_step_12,12,clipped_negative_gradient,correct,zero,0.9267104630343092,1.1038706148278006e-05,1.024819261671879e-05,1.0771368729223123,0.926710463465444
base_step_12,12,clipped_negative_gradient,correct,shuffled_xy,0.850218202978874,1.1038706148278006e-05,1.1238924590128634e-05,0.9821852669047638,0.8502182030508366
base_step_12,12,clipped_negative_gradient,zero,shuffled_xy,0.9168861634231241,1.024819261671879e-05,1.1238924590128634e-05,0.9118481518881243,0.9168861634476237
base_step_12,12,applied_physics_velocity,correct,zero,0.9267104630658552,1908.8195170812573,1917.0379692394738,0.9957129424194572,0.9267104634969898
base_step_12,12,applied_physics_velocity,correct,shuffled_xy,0.8502182028994996,1908.8195170812573,1917.2026148939171,0.9956274325167642,0.850218202971462
base_step_12,12,applied_physics_velocity,zero,shuffled_xy,0.9168861633392099,1917.0379692394738,1917.2026148939171,0.9999141219330893,0.9168861633637094
base_step_12,12,euler_state_delta,correct,zero,0.9267104630658552,59.65060990878929,59.907436538733556,0.9957129424194572,0.9267104634969898
base_step_12,12,euler_state_delta,correct,shuffled_xy,0.8502182028994996,59.65060990878929,59.91258171543491,0.9956274325167642,0.850218202971462
base_step_12,12,euler_state_delta,zero,shuffled_xy,0.9168861633392099,59.907436538733556,59.91258171543491,0.9999141219330893,0.9168861633637094
base_step_12,12,raw_negative_gradient_hidden_roi,correct,zero,0.43289123621559633,1.5338883216912423e-06,7.150045578392216e-07,2.145284676683359,0.4328911604663236
base_step_12,12,raw_negative_gradient_hidden_roi,correct,shuffled_xy,0.44571179507603775,1.5338883216912423e-06,7.268789244170347e-07,2.110239092323991,0.44571107246512315
base_step_12,12,raw_negative_gradient_hidden_roi,zero,shuffled_xy,nan,7.150045578392216e-07,7.268789244170347e-07,0.9836639003017779,nan
base_step_12,12,raw_negative_gradient_outside_hidden_roi,correct,zero,0.9338265657818635,1.0931615619139282e-05,1.0223219668560325e-05,1.069292842523721,0.9338265657970334
base_step_12,12,raw_negative_gradient_outside_hidden_roi,correct,shuffled_xy,0.8562952128195261,1.0931615619139282e-05,1.1215394463496877e-05,0.9746973817745581,0.856295212786233
base_step_12,12,raw_negative_gradient_outside_hidden_roi,zero,shuffled_xy,0.9166395845645569,1.0223219668560325e-05,1.1215394463496877e-05,0.9115345609852763,0.9166395845892868
base_step_16,16,raw_negative_gradient,correct,zero,0.9453191047580994,2.6658618575228106e-05,2.5191406227690605e-05,1.0582425742444155,0.9453191049462568
base_step_16,16,raw_negative_gradient,correct,shuffled_xy,0.8877510643760095,2.6658618575228106e-05,2.696019617834656e-05,0.9888139685214653,0.8877510646904504
base_step_16,16,raw_negative_gradient,zero,shuffled_xy,0.937536233828823,2.5191406227690605e-05,2.696019617834656e-05,0.9343925415469869,0.9375362338069124
base_step_16,16,clipped_negative_gradient,correct,zero,0.9453191047580994,2.6658618575228106e-05,2.5191406227690605e-05,1.0582425742444155,0.9453191049462568
base_step_16,16,clipped_negative_gradient,correct,shuffled_xy,0.8877510643760095,2.6658618575228106e-05,2.696019617834656e-05,0.9888139685214653,0.8877510646904504
