state,step,level,left,right,cosine,left_norm,right_norm,norm_ratio_left_over_right
base_step_12,12,spikes,zero,shuffled_xy,0.9175638294541647,29.64905115427794,32.31531834311145,0.917492157727672
base_step_12,12,seismic,correct,zero,0.9275251478805074,43.03527604610972,39.99043985120799,1.0761391024012394
base_step_12,12,seismic,correct,shuffled_xy,0.8631438616660628,43.03527604610972,43.105474110240536,0.9983714814514907
base_step_12,12,seismic,zero,shuffled_xy,0.9277685976449528,39.99043985120799,43.105474110240536,0.9277346016177441
base_step_16,16,reflectivity,correct,zero,0.943154264664328,42.622974422753764,40.371148293455796,1.055778104524785
base_step_16,16,reflectivity,correct,shuffled_xy,0.8919084735681159,42.622974422753764,42.74486184739498,0.9971484894470739
base_step_16,16,reflectivity,zero,shuffled_xy,0.9434797176141284,40.371148293455796,42.74486184739498,0.9444678623032245
base_step_16,16,twt,correct,zero,-0.9912180189983157,182811.26693814367,424106.88497250946,0.43104998625521834
base_step_16,16,twt,correct,shuffled_xy,0.9861643371022347,182811.26693814367,182808.45262357307,1.0000153948820758
base_step_16,16,twt,zero,shuffled_xy,-0.9912399145954576,424106.88497250946,182808.45262357307,2.319952271823021
base_step_16,16,spikes,correct,zero,0.9380609628511629,37.082860815964644,34.83446134176556,1.064545263155923
base_step_16,16,spikes,correct,shuffled_xy,0.8823733151728658,37.082860815964644,37.13483577065509,0.9986003720331109
base_step_16,16,spikes,zero,shuffled_xy,0.9382390381410698,34.83446134176556,37.13483577065509,0.9380534643239935
base_step_16,16,seismic,correct,zero,0.9476025534073989,50.351935208842136,47.75596950049825,1.0543589782700735
base_step_16,16,seismic,correct,shuffled_xy,0.8999546229044302,50.351935208842136,50.39767864039865,0.9990923504258419
base_step_16,16,seismic,zero,shuffled_xy,0.9476998853379501,47.75596950049825,50.39767864039865,0.9475827218402315
base_step_20,20,reflectivity,correct,zero,0.9683466111376707,56.743937351292395,55.248197914239235,1.0270730900467553
base_step_20,20,reflectivity,correct,shuffled_xy,0.939088465946521,56.743937351292395,56.97173897989022,0.996001497713134
base_step_20,20,reflectivity,zero,shuffled_xy,0.9685896726031412,55.248197914239235,56.97173897989022,0.9697474380015089
base_step_20,20,twt,correct,zero,-0.9853400566238099,158408.02321002592,449106.38772959757,0.3527182590540257
base_step_20,20,twt,correct,shuffled_xy,0.9815779873688801,158408.02321002592,158447.08007147233,0.9997535021697541
base_step_20,20,twt,zero,shuffled_xy,-0.9850102174338223,449106.38772959757,158447.08007147233,2.8344251438840944
base_step_20,20,spikes,correct,zero,0.9633442514095063,47.89298293779934,46.16637583789994,1.0373996673674772
base_step_20,20,spikes,correct,shuffled_xy,0.9294265192377897,47.89298293779934,47.92361098141358,0.9993608986679631
base_step_20,20,spikes,zero,shuffled_xy,0.9633917922062722,46.16637583789994,47.92361098141358,0.9633325805896564
base_step_20,20,seismic,correct,zero,0.9693740491445106,65.49524842349415,63.5602355809058,1.030443764484247
base_step_20,20,seismic,correct,shuffled_xy,0.9408891059550458,65.49524842349415,65.57565892103607,0.9987737752259761
base_step_20,20,seismic,zero,shuffled_xy,0.9694497099674747,63.5602355809058,65.57565892103607,0.9692656791667595
base_step_24,24,reflectivity,correct,zero,0.978095366679415,67.99027582303445,67.1380810822422,1.0126931649974973
base_step_24,24,reflectivity,correct,shuffled_xy,0.9577690569510487,67.99027582303445,68.53744102765761,0.9920165504223837
base_step_24,24,reflectivity,zero,shuffled_xy,0.9784041082719681,67.1380810822422,68.53744102765761,0.9795825475180681
base_step_24,24,twt,correct,zero,-0.9139720962112625,89192.79612278355,523193.42291393725,0.17047767081249285
base_step_24,24,twt,correct,shuffled_xy,0.9420322609618984,89192.79612278355,89424.76253067164,0.9974060159476685
base_step_24,24,twt,zero,shuffled_xy,-0.9111584757673047,523193.42291393725,89424.76253067164,5.850654875762047
base_step_24,24,spikes,correct,zero,0.9738111040362964,56.51059874870721,55.0577570219401,1.0263875937806215
base_step_24,24,spikes,correct,shuffled_xy,0.9492993593111009,56.51059874870721,56.53534423928626,0.9995623005234687
base_step_24,24,spikes,zero,shuffled_xy,0.9738342151351689,55.0577570219401,56.53534423928626,0.9738643633070976
