level_id,sample_id,step,t,w_t,tau,seismic_loss,seismic_rmse_amplitude,seismic_mae_amplitude,valid_seismic_sample_count,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_confidence,hard_change_outside_confidence,alpha,property_loss_mode,guidance_scaling_mode,guidance_reference_policy
ratio025,0,20,0.640625,0.9978589232386035,0.21448898131394362,10.89676284790039,0.033010244369506836,0.01504502259194851,1310720.0,0.33147820830345154,0.33147820830345154,1770.1864013671875,442.5466003417969,1810.1546630859375,0.24946473080965087,0.25,1.2893134355545044,1.0,0.0641365572810173,5.168319225311279,0.25,56.48748779296875,3.004479169845581,0.0,0,0,19196,0.0732269287109375,19196,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,21,0.671875,0.9807852804032304,0.19717945116135566,11.382856369018555,0.03373849019408226,0.015150782652199268,1310720.0,0.39536768198013306,0.39536768198013306,1773.144775390625,443.28619384765625,1810.32470703125,0.2451963201008076,0.25,1.5115045309066772,1.0,0.0641365572810173,6.164466857910156,0.25,56.47630310058594,3.300243616104126,0.0,0,0,20297,0.07742691040039062,20297,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,22,0.703125,0.9469301294951057,0.18086013910151333,11.905423164367676,0.034504234790802,0.015215069055557251,1310720.0,0.4453190267086029,0.4453190267086029,1775.2633056640625,443.8157958984375,1809.393798828125,0.23673253237377642,0.25,1.643703818321228,1.0,0.0641365572810173,6.943295001983643,0.2499999850988388,56.42515182495117,3.6572823524475098,0.0,0,0,20300,0.0774383544921875,20300,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,23,0.734375,0.8968727415326884,0.16568820903059628,12.283624649047852,0.035048000514507294,0.01503222156316042,1310720.0,0.4983742833137512,0.4983742833137512,1779.3955078125,444.848876953125,1813.2890625,0.2242181853831721,0.25,1.7422915697097778,1.0,0.0641365572810173,7.7705183029174805,0.25,56.522029876708984,4.02676248550415,0.0,0,0,18298,0.06980133056640625,18298,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,24,0.765625,0.8314696123025455,0.1518097749290082,12.507283210754395,0.03536563739180565,0.014458591118454933,1310720.0,0.5480546355247498,0.5480546355247498,1784.4306640625,446.107666015625,1823.7073974609375,0.20786740307563636,0.25,1.7762521505355835,1.0,0.0641365572810173,8.545121192932129,0.25,56.81315231323242,4.497064113616943,0.0,0,0,13851,0.052837371826171875,13851,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,25,0.796875,0.7518398074789774,0.139358493703871,12.653599739074707,0.03557189926505089,0.013544484972953796,1310720.0,0.5872645974159241,0.5872645974159241,1791.5140380859375,447.8785095214844,1831.5460205078125,0.18795995186974435,0.25,1.7210501432418823,1.0,0.0641365572810173,9.156472206115723,0.25,57.017295837402344,4.996617317199707,0.0,0,0,8919,0.034023284912109375,8919,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,26,0.828125,0.659345815100069,0.12845427799994558,12.897516250610352,0.03591310977935791,0.012640312314033508,1310720.0,0.5999767184257507,0.5999767184257507,1798.945556640625,449.73638916015625,1838.3907470703125,0.16483645377501724,0.25,1.5419915914535522,1.0,0.0641365572810173,9.354676246643066,0.25,57.176517486572266,5.596014022827148,0.0,0,0,5183,0.019771575927734375,5183,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,27,0.859375,0.5555702330196022,0.11920214137531127,13.4182710647583,0.03663095831871033,0.012155650183558464,1310720.0,0.6011267304420471,0.6011267304420471,1806.43212890625,451.6080322265625,1847.4591064453125,0.13889255825490054,0.25,1.3017854690551758,1.0,0.0641365572810173,9.372607231140137,0.25,57.38827896118164,6.300453186035156,0.0,0,0,3464,0.013214111328125,3464,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,28,0.890625,0.4422886902190013,0.11169118696339586,13.964254379272461,0.0373687744140625,0.012009539641439915,1310720.0,0.6153136491775513,0.6153136491775513,1815.4512939453125,453.8628234863281,1857.9832763671875,0.11057217255475033,0.25,1.0608079433441162,1.0,0.0641365572810173,9.593805313110352,0.25,57.631961822509766,7.053403377532959,0.0,0,0,2334,0.00890350341796875,2334,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,29,0.921875,0.32143946530316175,0.10599374936109118,14.303810119628906,0.037820376455783844,0.01199177373200655,1310720.0,0.5816107392311096,0.5816107392311096,1830.2413330078125,457.5603332519531,1876.7174072265625,0.08035986632579044,0.25,0.7287288904190063,1.0,0.0641365572810173,9.068318367004395,0.25,58.13010787963867,7.772421836853027,0.0,0,0,1625,0.006198883056640625,1625,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,30,0.953125,0.1950903220161286,0.10216469800704375,14.46208667755127,0.03802905231714249,0.011988689191639423,1310720.0,0.49759772419929504,0.49759772419929504,1865.84130859375,466.4603271484375,1916.33447265625,0.04877258050403215,0.25,0.37839770317077637,1.0,0.0641365572810173,7.758410453796387,0.25,59.27689743041992,8.51565933227539,0.0,0,0,1335,0.005092620849609375,1335,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio025,0,31,0.984375,0.06540312923014312,0.10024090875896552,14.549745559692383,0.038144126534461975,0.011977952904999256,1310720.0,0.42630183696746826,0.42630183696746826,2013.98486328125,218.88011169433594,2022.48828125,0.01635078230753578,0.1086801066994667,0.1086801066994667,0.0,0.0641365572810173,6.646783828735352,0.1086801141500473,62.409095764160156,9.98466968536377,0.0,0,0,702,0.00267791748046875,702,0,0.25,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,0,0.015625,0.0,0.49975909124103446,12.571235656738281,0.035455938428640366,0.015569865703582764,1310720.0,0.0,0.0,1773.5841064453125,0.0,1773.5841064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4033317565918,1.5318021774291992,1051.72021484375,0,0,904,0.003448486328125,904,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,1,0.046875,0.0,0.4978353019929562,12.593080520629883,0.03548672795295715,0.01559509802609682,1310720.0,0.0,0.0,1772.2952880859375,0.0,1772.2952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361026763916016,1.6029452085494995,0.0,0,0,996,0.0037994384765625,996,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,2,0.078125,0.0,0.4940062506389088,12.64046859741211,0.03555343672633171,0.015650002285838127,1310720.0,0.0,0.0,1772.0030517578125,0.0,1772.0030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.351600646972656,1.6130620241165161,0.0,0,0,1100,0.0041961669921875,1100,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,3,0.109375,0.0,0.4883088130366042,12.714372634887695,0.03565721586346626,0.015735015273094177,1310720.0,0.0,0.0,1770.676513671875,0.0,1770.676513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30962371826172,1.6300691366195679,0.0,0,0,1133,0.004322052001953125,1133,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,4,0.140625,0.0,0.48079785862468866,12.816598892211914,0.035800278186798096,0.015851521864533424,1310720.0,0.0,0.0,1770.586669921875,0.0,1770.586669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.306617736816406,1.6368591785430908,0.0,0,0,1412,0.0053863525390625,1412,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,5,0.171875,0.0,0.4715457220000544,12.949859619140625,0.03598591312766075,0.016000967472791672,1310720.0,0.0,0.0,1770.6107177734375,0.0,1770.6107177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.307491302490234,1.6327883005142212,0.0,0,0,1580,0.0060272216796875,1580,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,6,0.203125,0.0,0.460641506296129,13.117523193359375,0.03621812164783478,0.016185149550437927,1310720.0,0.0,0.0,1769.9136962890625,0.0,1769.9136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28583908081055,1.6279182434082031,0.0,0,0,1690,0.00644683837890625,1690,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,7,0.234375,0.0,0.4481902250709918,13.324070930480957,0.03650214895606041,0.016406569629907608,1310720.0,0.0,0.0,1771.181640625,0.0,1771.181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.326419830322266,1.595818281173706,0.0,0,0,1974,0.00753021240234375,1974,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,8,0.265625,0.06540312923014306,0.43431179096940364,13.57526683807373,0.03684462606906891,0.016667742282152176,1310720.0,0.0641365572810173,0.0641365572810173,1774.704345703125,58.03559875488281,1775.984130859375,0.03270156461507153,0.03270156309008598,0.03270156309008598,0.0,0.0641365572810173,1.0,0.032701559364795685,55.477256774902344,1.5711978673934937,0.0,0,0,2527,0.009639739990234375,2527,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
ratio050,0,9,0.296875,0.19509032201612825,0.4191398608984867,13.750478744506836,0.03708163648843765,0.016887782141566277,1310720.0,0.07080209255218506,0.07080209255218506,1774.9300537109375,191.12936401367188,1786.3861083984375,0.09754516100806412,0.10768276453018188,0.10768276453018188,0.0,0.0641365572810173,1.1039272546768188,0.10768275707960129,55.802940368652344,1.5537008047103882,0.0,0,0,3548,0.0135345458984375,3548,0,0.5,diagonal_uncertainty_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
