step,temperature,objective,gradient_norm_before_clip,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,soft_target_mass_in_search,categorical_entropy,hard_air_voxels_in_search,hard_background_voxels_in_search,hard_target_voxels_in_search,hard_distinct_categories_in_search,max_state_voxel_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
45,0.2,1.0365647077560425,0.001864248071797192,0.011070853099226952,0.010882876813411713,-0.017272665035001022,0.0,-0.017272665035001022,651.6121826171875,0.04516075551509857,0,161920,0,1,1.2349112033843994,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
50,0.2,1.028802752494812,0.001212534261867404,0.011032315902411938,0.010882876813411713,-0.013731579577934916,0.0,-0.013731579577934916,649.6221923828125,0.04467533901333809,0,161920,0,1,1.2615060806274414,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
55,0.2,1.0241897106170654,0.0007424287032335997,0.011010483838617802,0.010882876813411713,-0.011725486504527094,0.0,-0.011725486504527094,649.590576171875,0.044359177350997925,0,161920,0,1,1.303017020225525,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
60,0.2,1.0218652486801147,0.0004739131545647979,0.010999620892107487,0.010882876813411713,-0.01072731784962433,0.0,-0.01072731784962433,650.756591796875,0.044113676995038986,0,161920,0,1,1.3336095809936523,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
65,0.2,1.0207332372665405,0.0003211691800970584,0.010994312353432178,0.010882876813411713,-0.010239529669502145,0.0,-0.010239529669502145,652.40966796875,0.043957050889730453,0,161920,0,1,1.3569467067718506,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
70,0.2,1.0201618671417236,0.00022723300207871944,0.010991642251610756,0.010882876813411713,-0.009994180772588068,0.0,-0.009994180772588068,653.3903198242188,0.04387246072292328,0,161920,0,1,1.3765456676483154,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
75,0.2,1.0198674201965332,0.00016503650113008916,0.010990233160555363,0.010882876813411713,-0.009864702962671279,0.0,-0.009864702962671279,653.9793701171875,0.04381825029850006,0,161920,0,1,1.3908616304397583,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
80,0.2,1.019709825515747,0.0001221240236191079,0.010989493690431118,0.010882876813411713,-0.009796754924949136,0.0,-0.009796754924949136,654.529296875,0.04377102479338646,0,161920,0,1,1.4010220766067505,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
85,0.2,1.0196301937103271,9.296600910602137e-05,0.0109891127794981,0.010882876813411713,-0.00976175398360346,0.0,-0.00976175398360346,654.8209838867188,0.043738748878240585,0,161920,0,1,1.4080208539962769,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
90,0.2,1.019583821296692,7.174593338277191e-05,0.010988888330757618,0.010882876813411713,-0.009741129957040462,0.0,-0.009741129957040462,654.91259765625,0.043718717992305756,0,161920,0,1,1.412705659866333,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
95,0.2,1.0195566415786743,5.5664218962192535e-05,0.010988757014274597,0.010882876813411713,-0.009729063617847977,0.0,-0.009729063617847977,655.023193359375,0.04370258003473282,0,161920,0,1,1.4157922267913818,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
100,0.2,1.0195404291152954,4.2988489440176636e-05,0.010988677851855755,0.010882876813411713,-0.00972178958358283,0.0,-0.00972178958358283,655.06884765625,0.043689265847206116,0,161920,0,1,1.4178446531295776,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
