control,mode,step,temperature,soft_loss,gradient_norm_before_clip,hard_checked,hard_improved,selected_best_step,hard_loss
zero,ENDPOINT_REFERENCE,115,0.1,0.000345142325386405,3.606591417337768e-05,True,True,115,0.0010807827347889543
zero,ENDPOINT_REFERENCE,116,0.1,0.0003354661166667938,3.460870357230306e-05,False,False,115,
zero,ENDPOINT_REFERENCE,117,0.1,0.00032602340797893703,3.3796997740864754e-05,False,False,115,
zero,ENDPOINT_REFERENCE,118,0.1,0.0003165104135405272,3.109272802248597e-05,False,False,115,
zero,ENDPOINT_REFERENCE,119,0.1,0.0003084436757490039,2.922596650023479e-05,False,False,115,
zero,ENDPOINT_REFERENCE,120,0.1,0.00030143323238007724,2.756596586550586e-05,True,True,120,0.0010759951546788216
zero,ENDPOINT_REFERENCE,121,0.1,0.00029510344029404223,2.599145045678597e-05,False,False,120,
zero,ENDPOINT_REFERENCE,122,0.1,0.0002894887875299901,2.3727217921987176e-05,False,False,120,
zero,ENDPOINT_REFERENCE,123,0.1,0.00028460207977332175,2.2934831577003933e-05,False,False,120,
zero,ENDPOINT_REFERENCE,124,0.1,0.00028020268655382097,2.200393282691948e-05,False,False,120,
zero,ENDPOINT_REFERENCE,125,0.1,0.00027600122848525643,2.0484310880419798e-05,True,True,125,0.0010620633838698268
zero,ENDPOINT_REFERENCE,126,0.1,0.00027172351838089526,1.9557608538889326e-05,False,False,125,
zero,ENDPOINT_REFERENCE,127,0.1,0.00026777712628245354,1.9351677110535093e-05,False,False,125,
zero,ENDPOINT_REFERENCE,128,0.1,0.00026374656590633094,1.7265510905417614e-05,False,False,125,
zero,ENDPOINT_REFERENCE,129,0.1,0.000260164582869038,1.667915057623759e-05,False,False,125,
zero,ENDPOINT_REFERENCE,130,0.1,0.00025685419677756727,1.554875234432984e-05,True,True,130,0.0010276698740199208
zero,ENDPOINT_REFERENCE,131,0.1,0.0002539079578127712,1.5131996406125836e-05,False,False,130,
zero,ENDPOINT_REFERENCE,132,0.1,0.00025106556131504476,1.4848025784885976e-05,False,False,130,
zero,ENDPOINT_REFERENCE,133,0.1,0.00024839481920935214,1.4397177437786013e-05,False,False,130,
zero,ENDPOINT_REFERENCE,134,0.1,0.0002459106326568872,1.3312626833794639e-05,False,False,130,
zero,ENDPOINT_REFERENCE,135,0.1,0.00024383301206398755,1.4654629012511577e-05,True,True,135,0.000981141347438097
zero,ENDPOINT_REFERENCE,136,0.1,0.00024161725013982505,1.2573232197610196e-05,False,False,135,
zero,ENDPOINT_REFERENCE,137,0.1,0.00023957616940606385,1.2574970241985284e-05,False,False,135,
zero,ENDPOINT_REFERENCE,138,0.1,0.0002376681222813204,1.1110269952041563e-05,False,False,135,
zero,ENDPOINT_REFERENCE,139,0.1,0.0002359793579671532,1.2609735676960554e-05,False,False,135,
zero,ENDPOINT_REFERENCE,140,0.1,0.0002343500527786091,1.1481944056868088e-05,True,True,140,0.0009452819940634072
zero,ENDPOINT_REFERENCE,141,0.1,0.00023272862017620355,1.0120330443896819e-05,False,False,140,
zero,ENDPOINT_REFERENCE,142,0.1,0.00023121682170312852,9.853453775576781e-06,False,False,140,
