case_id,arm,generation,proposal_index,branch_id,ranking_id,sensitivity_rank_one_based,sensitivity_rank_index_zero_based,sensitivity_score,parent_state_id,child_state_id,parent_hard_rmse,child_hard_rmse,delta_hard_rmse_vs_parent,delta_hard_rmse_vs_empty,empty_hard_rmse,center_x,center_y,center_z,shape,orientation_deg,full_size_x,full_size_y,full_size_z,realized_scale,probe_size_x,probe_size_y,probe_size_z,birth_changed_voxels_vs_parent,child_changed_from_base_voxels,hard_rmse_rank_among_96_one_based,next_beam_cutoff_hard_rmse,margin_child_minus_beam_cutoff,parent_was_valid_beam_state,satisfied_local_continuation_improvement_rule,entered_next_beam,continuation_executed,deterministic_continuation_reason,exact_v2_full_target_geometry_match_count,matched_v2_full_target_failed_vs_parent,condition_violations,truth_used
analytic_five_body,correct,1,32,branch_e2ad95d99f818ff04c22,g001_b7e43f1d75130653_0000,33,32,4.7225028538377956e-05,empty,g001_p000032_empty,0.008885824121534824,0.009370564483106136,0.00048474036157131195,0.00048474036157131195,0.008885824121534824,39.0,41.0,39.0,ellipsoid,55.25495035585992,11.3959386872924,15.965647437697456,12.79548731684428,0.25,2.8489846718231,3.991411859424364,3.19887182921107,23,23,64,0.009027141146361828,0.00034342333674430847,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,33,branch_8fc70c2d0d1baafdc287,g001_b7e43f1d75130653_0000,34,33,4.7225028538377956e-05,empty,g001_p000033_empty,0.008885824121534824,0.009172756224870682,0.0002869321033358574,0.0002869321033358574,0.008885824121534824,39.0,42.0,39.0,dike_hemisphere,143.19978604127047,10.208988122002012,7.844562040767961,8.691293616186567,0.25,2.552247030500503,1.9611405101919903,2.1728234040466416,7,7,33,0.009027141146361828,0.0001456150785088539,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,34,branch_effc14aa8bb361f3dd91,g001_b7e43f1d75130653_0000,35,34,4.7225028538377956e-05,empty,g001_p000034_empty,0.008885824121534824,0.009287331253290176,0.000401507131755352,0.000401507131755352,0.008885824121534824,41.0,39.0,39.0,ellipsoid,157.45947639507557,10.620766067961842,9.114811716998187,11.282499142412842,0.25,2.6551915169904605,2.2787029292495466,2.8206247856032105,7,7,48,0.009027141146361828,0.00026019010692834854,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,35,branch_c1aa35ef9ec01ed3c627,g001_b7e43f1d75130653_0000,36,35,4.7225028538377956e-05,empty,g001_p000035_empty,0.008885824121534824,0.009328000247478485,0.00044217612594366074,0.00044217612594366074,0.008885824121534824,41.0,44.0,39.0,dike_hemisphere,178.50468683093086,15.114700163832424,11.621816942283544,13.22246284030209,0.25,3.778675040958106,2.905454235570886,3.3056157100755224,19,19,57,0.009027141146361828,0.00030085910111665726,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,36,branch_c1c0018308b979270b36,g001_b7e43f1d75130653_0000,37,36,4.722502490039915e-05,empty,g001_p000036_empty,0.008885824121534824,0.009266642853617668,0.0003808187320828438,0.0003808187320828438,0.008885824121534824,42.0,39.0,39.0,dike_hemisphere,124.1237304614537,11.987560962201881,7.290780726396496,12.324730663072561,0.25,2.9968902405504703,1.822695181599124,3.0811826657681403,11,11,46,0.009027141146361828,0.0002395017072558403,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,37,branch_59095f47f178ae0dc6b2,g001_b7e43f1d75130653_0000,38,37,4.722502490039915e-05,empty,g001_p000037_empty,0.008885824121534824,0.009110778570175171,0.00022495444864034653,0.00022495444864034653,0.008885824121534824,42.0,44.0,39.0,ellipsoid,109.21714624205705,6.280125722527684,14.99211715241777,9.138252779330927,0.25,1.570031430631921,3.7480292881044424,2.2845631948327316,5,5,17,0.009027141146361828,8.363742381334305e-05,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,38,branch_1aed33ec3cb3af1a4510,g001_b7e43f1d75130653_0000,39,38,4.722502490039915e-05,empty,g001_p000038_empty,0.008885824121534824,0.009122527204453945,0.0002367030829191208,0.0002367030829191208,0.008885824121534824,44.0,41.0,39.0,dike_hemisphere,74.11549294220575,9.677201001023281,10.507576242178114,8.23446700254383,0.25,2.4193002502558203,2.6268940605445286,2.0586167506359576,11,11,22,0.009027141146361828,9.538605809211731e-05,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,39,branch_7ac9a588b7466640f11f,g001_b7e43f1d75130653_0000,40,39,4.722502126242034e-05,empty,g001_p000039_empty,0.008885824121534824,0.009673411957919598,0.0007875878363847733,0.0007875878363847733,0.008885824121534824,44.0,42.0,39.0,dike_hemisphere,106.85754356051324,13.010901586496999,15.814244091845861,7.927856431053774,0.25,3.2527253966242498,3.9535610229614653,1.9819641077634436,9,9,94,0.009027141146361828,0.0006462708115577698,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,40,branch_15c4ad0244566a5097f2,g001_b7e43f1d75130653_0000,41,40,4.719778735307045e-05,empty,g001_p000040_empty,0.008885824121534824,0.009310368448495865,0.0004245443269610405,0.0004245443269610405,0.008885824121534824,7.0,41.0,21.0,dike_hemisphere,113.2905653951444,13.527499137333304,15.725571999552823,10.760084367370052,0.25,3.381874784333326,3.931392999888206,2.690021091842513,19,19,54,0.009027141146361828,0.000283227302134037,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,41,branch_00b7afdd8c94a15faf3a,g001_b7e43f1d75130653_0000,42,41,4.719778735307045e-05,empty,g001_p000041_empty,0.008885824121534824,0.009460590779781342,0.0005747666582465172,0.0005747666582465172,0.008885824121534824,7.0,42.0,21.0,ellipsoid,154.53250232778123,7.854317783486196,14.439095852435525,9.705885407693115,0.25,1.963579445871549,3.609773963108881,2.426471351923279,9,9,85,0.009027141146361828,0.0004334496334195137,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
