branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_59f55c012858b9e5d413,new_center,4,78,g004_p000078_g003_p000068_g002_p000031_g001_p000058_empty,g003_p000068_g002_p000031_g001_p000058_empty,g004_44c681b830655835_0016,1,6.48737041046843e-05,25.0,54.0,23.0,ellipsoid,9,149.04086377531823,7.131199590398543,11.985957988278496,13.608096471720268,0,0.25,1.7827998975996358,2.996489497069624,3.402024117930067,0.009366980753839016,0.00039794202893972397,0.0004811566323041916,False,0,False,,terminated_non_improving_hard_step,False
branch_2b5a23bfcbce231db405,new_center,4,84,g004_p000084_g003_p000016_g002_p000007_g001_p000055_empty,g003_p000016_g002_p000007_g001_p000055_empty,g004_d1d6607dc0f9da17_0017,0,6.173095607664436e-05,25.0,25.0,37.0,ellipsoid,9,26.7525597415341,10.601606602319746,14.471929600795383,11.587244181017462,0,0.25,2.6504016505799366,3.6179824001988456,2.8968110452543656,0.009371829219162464,0.00039508193731307983,0.00048600509762763977,False,0,False,,terminated_non_improving_hard_step,False
branch_d81add19d50dbda0389b,new_center,4,90,g004_p000090_g003_p000016_g002_p000007_g001_p000055_empty,g003_p000016_g002_p000007_g001_p000055_empty,g004_d1d6607dc0f9da17_0017,1,6.173095607664436e-05,25.0,26.0,37.0,ellipsoid,9,109.33060163616724,15.540051274623506,14.656275375137124,12.099443117738343,0,0.25,3.8850128186558766,3.664068843784281,3.0248607794345856,0.00945682730525732,0.0004800800234079361,0.000571003183722496,False,0,False,,terminated_non_improving_hard_step,False
branch_78a95a684d01966d8823,new_center,5,0,g005_p000000_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,0,6.173095607664436e-05,25.0,25.0,37.0,dike_hemisphere,9,27.48963573295637,11.082287044152029,8.282558563624626,8.603764594814074,0,0.25,2.770571761038007,2.0706396409061565,2.1509411487035184,0.009147676639258862,0.00026185251772403717,0.00026185251772403717,False,0,False,,terminated_non_improving_hard_step,False
branch_35e362e7efb3b933a02f,new_center,5,1,g005_p000001_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,1,6.173095607664436e-05,25.0,26.0,37.0,ellipsoid,9,25.353163155324477,15.874793848265998,6.797922113051985,11.386304864711985,0,0.25,3.9686984620664996,1.6994805282629963,2.846576216177996,0.009198189713060856,0.0003123655915260315,0.0003123655915260315,False,0,False,,terminated_non_improving_hard_step,False
branch_be26bb243cc338b84d3e,new_center,5,2,g005_p000002_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,2,6.173095607664436e-05,26.0,25.0,37.0,dike_hemisphere,9,131.65693775893627,14.509306957096163,14.939950000548224,10.556476142150787,0,0.25,3.6273267392740407,3.734987500137056,2.639119035537697,0.009310366585850716,0.00042454246431589127,0.00042454246431589127,False,0,False,,terminated_non_improving_hard_step,False
branch_91e23456e5057087a760,new_center,5,3,g005_p000003_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,3,6.173094880068675e-05,26.0,26.0,37.0,ellipsoid,9,24.977545207401686,11.863762198456405,7.186841211020039,10.882855641288717,0,0.25,2.965940549614101,1.7967103027550098,2.7207139103221794,0.009110778570175171,0.00022495444864034653,0.00022495444864034653,False,0,False,,terminated_non_improving_hard_step,False
branch_7b5a9ca6213124e767e7,new_center,5,4,g005_p000004_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,4,6.169795233290642e-05,25.0,53.0,23.0,ellipsoid,9,163.8764293356658,13.084783004094087,6.982059833351356,6.632494292263358,0,0.25,3.2711957510235217,1.745514958337839,1.6581235730658395,0.009155884385108948,0.0002700602635741234,0.0002700602635741234,False,0,False,,terminated_non_improving_hard_step,False
branch_6b0d6be7105b6326eb51,new_center,5,5,g005_p000005_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,5,6.169795233290642e-05,25.0,54.0,23.0,ellipsoid,9,1.3694727886787228,13.230222292318022,7.459885299866414,9.163883754371689,0,0.25,3.3075555730795054,1.8649713249666036,2.2909709385929222,0.00911078043282032,0.00022495631128549576,0.00022495631128549576,False,0,False,,terminated_non_improving_hard_step,False
branch_d7d7db97201d586a5424,new_center,5,6,g005_p000006_g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g004_p000001_g003_p000069_g002_p000031_g001_p000058_empty,g005_8d79efef044963c2_0018,6,6.169795233290642e-05,26.0,53.0,23.0,dike_hemisphere,9,94.83526437811098,14.057426125771714,14.133111348030987,10.733554501518288,0,0.25,3.5143565314429286,3.5332778370077467,2.683388625379572,0.009310370311141014,0.00042454618960618973,0.00042454618960618973,False,0,False,,terminated_non_improving_hard_step,False
