candidate_0,candidate_1,candidate_ids,is_truth_pair,hard_rmse,hard_attainment,selected_body_count,body_true_positive,body_precision,body_recall,rank
2,11,"candidate_02,candidate_11",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,25
5,9,"candidate_05,candidate_09",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,26
5,10,"candidate_05,candidate_10",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,27
9,10,"candidate_09,candidate_10",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,28
9,11,"candidate_09,candidate_11",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,29
10,11,"candidate_10,candidate_11",False,0.01256644632667303,-0.41421281299257395,2,0,0.0,0.0,30
5,11,"candidate_05,candidate_11",False,0.012566447257995605,-0.41421291780250047,2,0,0.0,0.0,31
3,9,"candidate_03,candidate_09",False,0.012566451914608479,-0.41421344185213393,2,0,0.0,0.0,32
8,9,"candidate_08,candidate_09",False,0.012566451914608479,-0.41421344185213393,2,0,0.0,0.0,33
1,2,"candidate_01,candidate_02",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,34
1,5,"candidate_01,candidate_05",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,35
1,9,"candidate_01,candidate_09",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,36
1,10,"candidate_01,candidate_10",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,37
1,11,"candidate_01,candidate_11",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,38
2,3,"candidate_02,candidate_03",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,39
2,8,"candidate_02,candidate_08",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,40
3,5,"candidate_03,candidate_05",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,41
3,10,"candidate_03,candidate_10",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,42
3,11,"candidate_03,candidate_11",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,43
5,8,"candidate_05,candidate_08",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,44
8,10,"candidate_08,candidate_10",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,45
8,11,"candidate_08,candidate_11",False,0.012566452845931053,-0.41421354666206067,2,0,0.0,0.0,46
0,2,"candidate_00,candidate_02",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,47
0,5,"candidate_00,candidate_05",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,48
0,9,"candidate_00,candidate_09",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,49
0,10,"candidate_00,candidate_10",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,50
0,11,"candidate_00,candidate_11",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,51
1,3,"candidate_01,candidate_03",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,52
2,7,"candidate_02,candidate_07",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,53
3,8,"candidate_03,candidate_08",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,54
5,7,"candidate_05,candidate_07",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,55
7,9,"candidate_07,candidate_09",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,56
7,10,"candidate_07,candidate_10",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,57
7,11,"candidate_07,candidate_11",False,0.0125664584338665,-0.41421417552162065,2,0,0.0,0.0,58
1,8,"candidate_01,candidate_08",False,0.012566459365189075,-0.4142142803315474,2,0,0.0,0.0,59
0,3,"candidate_00,candidate_03",False,0.012566464021801949,-0.41421480438118063,2,0,0.0,0.0,60
