sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,variant
4,8,False,0,5970,5970,nan,0.0,0.0,nan,inverted
4,9,True,8968,917,-8051,0.8977475468331847,0.011667178385016887,0.12431842966194111,0.012711864406779662,inverted
4,10,False,0,1544,1544,nan,0.0,0.0,nan,inverted
4,11,False,0,14906,14906,nan,0.0,0.0,nan,inverted
4,12,False,0,18002,18002,nan,0.0,0.0,nan,inverted
4,13,True,15,182,167,11.133333333333333,0.0,0.0,0.0,inverted
5,0,False,0,12,12,nan,0.0,0.0,nan,prior
5,1,True,45273,35006,-10267,0.22677975835486935,0.4544878066456499,0.716591441467177,0.5540830075320832,prior
5,2,True,24520,21640,-2880,0.11745513866231648,0.7254784688995215,0.8968576709796673,0.7915171288743883,prior
5,3,True,14533,10826,-3707,0.25507465767563475,0.28082226375069447,0.5135784223166451,0.38257758205463427,prior
5,4,True,73801,91814,18013,0.24407528353274346,0.5486576710522625,0.639052867754373,0.7950298776439344,prior
5,5,True,18902,28733,9831,0.5201036927309279,0.3198581363774902,0.40176800194897855,0.6107290233837689,prior
5,6,True,11543,137,-11406,0.9881313350082301,0.006202618883528601,0.5255474452554745,0.00623754656501776,prior
5,7,False,0,1,1,nan,0.0,0.0,nan,prior
5,8,False,0,0,0,nan,nan,nan,nan,prior
5,9,True,8968,9054,86,0.00958965209634255,0.04772978315214232,0.09067815330240778,0.09154772524531668,prior
5,10,False,0,220,220,nan,0.0,0.0,nan,prior
5,11,False,0,112,112,nan,0.0,0.0,nan,prior
5,12,False,0,0,0,nan,nan,nan,nan,prior
5,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
5,0,False,0,0,0,nan,nan,nan,nan,inverted
5,1,True,45273,27308,-17965,0.3968148786252292,0.4147239981288009,0.7791489673355794,0.4699710644313388,inverted
5,2,True,24520,21135,-3385,0.1380505709624796,0.666727511682243,0.8641116631180507,0.7448205546492659,inverted
5,3,True,14533,11350,-3183,0.21901878483451456,0.21905614167294649,0.4097797356828194,0.3200302759237597,inverted
5,4,True,73801,72868,-933,0.012642105120526822,0.5487750791974657,0.7131937201515068,0.7041774501700518,inverted
5,5,True,18902,18237,-665,0.0351814622791239,0.3002485733291321,0.4702527828041893,0.45370860226431065,inverted
5,6,True,11543,2738,-8805,0.7627999653469635,0.01197562358276644,0.06172388604821037,0.014640907909555575,inverted
