branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_93d364b6f5320f396f72,new_center,6,84,g006_p000084_g005_p000062_g004_p000031_g003_p000067_g002_p000031_g001_p000023_empty,g005_p000062_g004_p000031_g003_p000067_g002_p000031_g001_p000023_empty,g006_b6a5b27c10260455_0026,0,7.10140448063612e-05,42.0,11.0,24.0,dike_hemisphere,9,25.88394388332498,12.707332590650044,11.464651171201565,12.345087572387396,0,0.25,3.176833147662511,2.866162792800391,3.086271893096849,0.016279732808470726,0.00020443834364414215,0.0002541877329349518,False,0,False,,terminated_non_improving_hard_step,False
branch_a33c9a6140f0a59eb02f,new_center,6,90,g006_p000090_g005_p000062_g004_p000031_g003_p000067_g002_p000031_g001_p000023_empty,g005_p000062_g004_p000031_g003_p000067_g002_p000031_g001_p000023_empty,g006_b6a5b27c10260455_0026,1,7.101403025444597e-05,42.0,9.0,24.0,ellipsoid,9,94.56296857995106,6.095604354795916,11.711878691497102,6.467328755567994,0,0.25,1.523901088698979,2.9279696728742755,1.6168321888919985,0.016175325959920883,0.00010003149509429932,0.00014978088438510895,False,0,False,,terminated_non_improving_hard_step,False
branch_53ee31abc44718d6a8ce,new_center,7,0,g007_p000000_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,0,7.10140448063612e-05,42.0,11.0,24.0,ellipsoid,9,62.0475925823227,9.094767652542465,10.044345498383132,10.915190327284355,0,0.25,2.2736919131356164,2.511086374595783,2.728797581821089,0.016138803213834763,0.00011325813829898834,0.00011325813829898834,False,0,False,,terminated_non_improving_hard_step,False
branch_bd03fb92cc769c7aad90,new_center,7,1,g007_p000001_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,1,7.101403025444597e-05,42.0,9.0,24.0,ellipsoid,9,4.659161436363883,11.677376141306048,12.313963384123063,10.216496487271257,0,0.25,2.919344035326512,3.078490846030766,2.5541241218178143,0.016271522268652916,0.0002459771931171417,0.0002459771931171417,False,0,False,,terminated_non_improving_hard_step,False
branch_d317c28965cd2936a61a,new_center,7,2,g007_p000002_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,2,6.556713924510404e-05,27.0,10.0,36.0,dike_hemisphere,9,84.12069842912898,15.964052191103379,7.608992619890809,9.596927168065239,0,0.25,3.9910130477758448,1.9022481549727022,2.3992317920163098,0.016074301674962044,4.875659942626953e-05,4.875659942626953e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_d68ff18ba5178f128216,new_center,7,3,g007_p000003_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,3,6.556713196914643e-05,25.0,10.0,36.0,dike_hemisphere,9,39.560366844885145,6.110136628247367,11.708991376249104,8.37384107684995,0,0.25,1.5275341570618417,2.927247844062276,2.0934602692124873,0.01616661250591278,0.00014106743037700653,0.00014106743037700653,False,0,False,,terminated_non_improving_hard_step,False
branch_47d1ce2304dddd69cc8e,new_center,7,4,g007_p000004_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,4,6.420160207198933e-05,10.0,9.0,16.0,ellipsoid,9,21.682020120395485,9.582448051168242,9.397086035049426,8.689427132576412,0,0.25,2.3956120127920606,2.3492715087623566,2.172356783144103,0.016138803213834763,0.00011325813829898834,0.00011325813829898834,False,0,False,,terminated_non_improving_hard_step,False
branch_faf4120bb3405c254577,new_center,7,5,g007_p000005_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,5,6.420160207198933e-05,10.0,11.0,16.0,ellipsoid,9,97.34725478834025,7.966272002714198,6.630746892824425,13.195282230549724,0,0.25,1.9915680006785494,1.6576867232061063,3.298820557637431,0.016038542613387108,1.2997537851333618e-05,1.2997537851333618e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_4f4843e2fe14f8e99259,new_center,7,6,g007_p000006_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,6,5.73338293179404e-05,9.0,11.0,16.0,dike_hemisphere,9,135.07884639444265,11.048412860611844,7.907957624270877,7.6732976133714,0,0.25,2.762103215152961,1.9769894060677193,1.91832440334285,0.016059061512351036,3.351643681526184e-05,3.351643681526184e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_04693a15aa2bbc71c30f,new_center,7,7,g007_p000007_g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g006_p000001_g005_p000053_g004_p000025_g003_p000067_g002_p000031_g001_p000023_empty,g007_bdf036486714f96e_0027,7,5.733381840400398e-05,11.0,9.0,16.0,dike_hemisphere,9,42.991853069441056,14.81028276796902,7.810181616197863,13.010677105810135,0,0.25,3.702570691992255,1.9525454040494659,3.252669276452534,0.01615946553647518,0.00013392046093940735,0.00013392046093940735,False,0,False,,terminated_non_improving_hard_step,False
