scope,hard_loss_rank_quintile,interpretation,count,hard_delta_min,hard_delta_median,hard_delta_max,score_min,score_p05,score_median,score_p95,score_max
arm:native_seed20260807/wrong_case_observation,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,3.512389957904816e-05,0.0006639380007982254,0.0008593033999204636,3.312603439553641e-05,3.345943296153564e-05,4.19855241489131e-05,7.28090337361209e-05,8.108023030217737e-05
arm:native_seed20260807/wrong_case_observation,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0008607525378465652,0.0009791813790798187,0.0011143609881401062,3.3126023481599987e-05,3.3479539160907736e-05,4.263804112270009e-05,7.101403025444597e-05,7.10140448063612e-05
arm:native_seed20260807/wrong_case_observation,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0011188406497240067,0.0012583741918206215,0.001415099948644638,3.3126023481599987e-05,3.345943732711021e-05,3.938852023566142e-05,7.10140448063612e-05,7.10140448063612e-05
arm:native_seed20260807/wrong_case_observation,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0014159921556711197,0.0016203969717025757,0.0018912144005298615,3.3126023481599987e-05,3.343486441735877e-05,3.9533300878247246e-05,7.101403025444597e-05,7.411099068121985e-05
arm:native_seed20260807/wrong_case_observation,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0018947869539260864,0.002212786115705967,0.0032005012035369873,3.3311847801087424e-05,3.3479539160907736e-05,3.946091055695433e-05,7.101403025444597e-05,7.10140448063612e-05
arm:native_seed20260807/zero,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,-0.0005492791533470154,0.002617444610223174,0.004365301225334406,0.0,0.0,3.3518696000101045e-05,4.346122295828536e-05,4.546231866697781e-05
arm:native_seed20260807/zero,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.004365881439298391,0.0051149046048521996,0.0054506720043718815,0.0,0.0,0.0,0.0,0.0
arm:native_seed20260807/zero,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.005453290417790413,0.005875590723007917,0.006227448582649231,0.0,0.0,0.0,0.0,0.0
arm:native_seed20260807/zero,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.006229214835911989,0.00655364990234375,0.006909490562975407,0.0,0.0,0.0,0.0,0.0
arm:native_seed20260807/zero,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.006910353899002075,0.007362685166299343,0.008258187212049961,0.0,0.0,0.0,0.0,0.0
