case_id,observation_kind,observation_group,trace_index,generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,canonical_center_score,hard_rmse,hard_delta_rmse_vs_parent,hard_delta_rmse_vs_empty,hard_improves_parent,hard_improves_empty,condition_violations,shape,material_label,size_x,size_y,size_z,orientation_deg,truth_used
analytic_five_body,correct,correct,11,1,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,41.0,40.0,39.0,5.569587301579304e-05,0.010794493369758129,0.0019086692482233047,0.0019086692482233047,False,False,0,ellipsoid,9,13.360088129200104,7.883318812364299,11.068272044007422,110.77220670438774,False
analytic_five_body,correct,correct,12,1,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,41.0,43.0,39.0,5.569587301579304e-05,0.010967187583446503,0.0020813634619116783,0.0020813634619116783,False,False,0,dike_hemisphere,9,8.697609417360173,14.354844958554544,11.199660706009823,52.21242285525821,False
analytic_five_body,correct,correct,13,1,g001_p000012_empty,empty,g001_b7e43f1d75130653_0000,12,42.0,40.0,39.0,5.569586937781423e-05,0.012852519750595093,0.003966695629060268,0.003966695629060268,False,False,0,ellipsoid,9,12.806527380318517,14.472271475228657,12.957059957475643,85.97105246644753,False
analytic_five_body,correct,correct,14,1,g001_p000013_empty,empty,g001_b7e43f1d75130653_0000,13,42.0,43.0,39.0,5.569586937781423e-05,0.01023027952760458,0.0013444554060697556,0.0013444554060697556,False,False,0,dike_hemisphere,9,9.571871857949091,7.160739040984092,11.376243859799143,174.71832456044808,False
analytic_five_body,correct,correct,15,1,g001_p000014_empty,empty,g001_b7e43f1d75130653_0000,14,43.0,41.0,39.0,5.569586937781423e-05,0.011066999286413193,0.0021811751648783684,0.0021811751648783684,False,False,0,dike_hemisphere,9,11.33455489022586,8.151513453478163,13.286836865297733,159.63060883025153,False
analytic_five_body,correct,correct,16,1,g001_p000015_empty,empty,g001_b7e43f1d75130653_0000,15,43.0,42.0,39.0,5.5695865739835426e-05,0.010439394973218441,0.0015535708516836166,0.0015535708516836166,False,False,0,ellipsoid,9,12.471258676360954,6.952710364086431,10.660282162596085,87.29187828979056,False
analytic_five_body,correct,correct,17,1,g001_p000016_empty,empty,g001_b7e43f1d75130653_0000,16,8.0,41.0,21.0,5.566444087889977e-05,0.010058017447590828,0.0011721933260560036,0.0011721933260560036,False,False,0,ellipsoid,9,10.874120076267408,7.343850586969914,8.199546644911543,12.41297095544968,False
analytic_five_body,correct,correct,18,1,g001_p000017_empty,empty,g001_b7e43f1d75130653_0000,17,8.0,42.0,21.0,5.566444087889977e-05,0.011109227314591408,0.0022234031930565834,0.0022234031930565834,False,False,0,dike_hemisphere,9,15.568984308983818,8.401667265695245,10.893816953246827,39.35387470278744,False
analytic_five_body,correct,correct,19,1,g001_p000018_empty,empty,g001_b7e43f1d75130653_0000,18,9.0,40.0,21.0,5.566444087889977e-05,0.010888425633311272,0.0020026015117764473,0.0020026015117764473,False,False,0,dike_hemisphere,9,13.221076156955991,6.423416583396705,7.317005077734772,172.45712541101338,False
analytic_five_body,correct,correct,20,1,g001_p000019_empty,empty,g001_b7e43f1d75130653_0000,19,9.0,43.0,21.0,5.566444087889977e-05,0.010437632910907269,0.0015518087893724442,0.0015518087893724442,False,False,0,dike_hemisphere,9,7.847048685441748,8.150579837722574,7.872388357661165,62.23226789086255,False
