case_id,trace_index,is_initial,generation,state_id,parent_id,move_type,body_count,edited_voxels,changed_voxels,hard_rmse,empty_hard_rmse,delta_rmse,delta_rmse_lt_zero,zero_edit,truth_used_for_selection,bodies_json
analytic_five_body,24,False,1,g001_p000023_empty,empty,birth,1,450,450,0.011904832907021046,0.008885824121534824,0.0030190087854862213,False,False,False,"[{""body_id"": ""body_01000023"", ""center_x"": 23.099688235490962, ""center_y"": 19.449117549165052, ""center_z"": 12.719817468913202, ""material_label"": 9, ""orientation_deg"": 29.431657523885622, ""shape"": ""dike_hemisphere"", ""size_x"": 15.4949785794143, ""size_y"": 8.79054516317618, ""size_z"": 6.340410897677041}]"
analytic_five_body,25,False,1,g001_p000024_empty,empty,birth,1,1029,1029,0.012441820465028286,0.008885824121534824,0.0035559963434934616,False,False,False,"[{""body_id"": ""body_01000024"", ""center_x"": 44.47379524631206, ""center_y"": 44.49308212125715, ""center_z"": 10.840960594991659, ""material_label"": 9, ""orientation_deg"": 104.6165805034426, ""shape"": ""dike_hemisphere"", ""size_x"": 14.162383720643012, ""size_y"": 10.921039813943082, ""size_z"": 12.808272739595862}]"
analytic_five_body,26,False,1,g001_p000025_empty,empty,birth,1,677,622,0.011658478528261185,0.008885824121534824,0.0027726544067263603,False,False,False,"[{""body_id"": ""body_01000025"", ""center_x"": 37.53320147737666, ""center_y"": 4.21721083333179, ""center_z"": 31.630124007706716, ""material_label"": 9, ""orientation_deg"": 97.28757733917105, ""shape"": ""dike_hemisphere"", ""size_x"": 10.724165173676123, ""size_y"": 9.933379992288534, ""size_z"": 12.130224306106765}]"
analytic_five_body,27,False,1,g001_p000026_empty,empty,birth,1,488,488,0.011176944710314274,0.008885824121534824,0.0022911205887794495,False,False,False,"[{""body_id"": ""body_01000026"", ""center_x"": 43.942590446303235, ""center_y"": 35.48017038051889, ""center_z"": 15.926467399807514, ""material_label"": 9, ""orientation_deg"": 54.01640594060518, ""shape"": ""ellipsoid"", ""size_x"": 7.0155988133818585, ""size_y"": 13.788492252932086, ""size_z"": 9.51071556944707}]"
analytic_five_body,28,False,1,g001_p000027_empty,empty,birth,1,1154,1084,0.013351342640817165,0.008885824121534824,0.004465518519282341,False,False,False,"[{""body_id"": ""body_01000027"", ""center_x"": 37.469649718785185, ""center_y"": 16.91560042241423, ""center_z"": 27.784350531715386, ""material_label"": 9, ""orientation_deg"": 76.32087457784891, ""shape"": ""ellipsoid"", ""size_x"": 13.277395392999473, ""size_y"": 15.03541459903683, ""size_z"": 11.10483900104514}]"
analytic_five_body,29,False,1,g001_p000028_empty,empty,birth,1,570,570,0.01254954468458891,0.008885824121534824,0.0036637205630540848,False,False,False,"[{""body_id"": ""body_01000028"", ""center_x"": 32.08126550702526, ""center_y"": 21.504531531902074, ""center_z"": 21.355373998308103, ""material_label"": 9, ""orientation_deg"": 59.23849876696286, ""shape"": ""ellipsoid"", ""size_x"": 11.966143278502052, ""size_y"": 14.013052934755072, ""size_z"": 6.5409084727214015}]"
analytic_five_body,30,False,1,g001_p000029_empty,empty,birth,1,733,733,0.012264366261661053,0.008885824121534824,0.0033785421401262283,False,False,False,"[{""body_id"": ""body_01000029"", ""center_x"": 41.35545787022319, ""center_y"": 58.007185412904676, ""center_z"": 21.798275859968196, ""material_label"": 9, ""orientation_deg"": 106.61882671995619, ""shape"": ""ellipsoid"", ""size_x"": 12.646421280574245, ""size_y"": 11.724070690046856, ""size_z"": 9.557750592532807}]"
analytic_five_body,31,False,1,g001_p000030_empty,empty,birth,1,331,331,0.011583822779357433,0.008885824121534824,0.002697998657822609,False,False,False,"[{""body_id"": ""body_01000030"", ""center_x"": 10.254147073862448, ""center_y"": 49.239285687953675, ""center_z"": 16.164051346299104, ""material_label"": 9, ""orientation_deg"": 23.109184532493337, ""shape"": ""dike_hemisphere"", ""size_x"": 10.931472645888741, ""size_y"": 10.382683606138892, ""size_z"": 6.273296075862198}]"
analytic_five_body,32,False,1,g001_p000031_empty,empty,birth,1,369,369,0.010373864322900772,0.008885824121534824,0.0014880402013659477,False,False,False,"[{""body_id"": ""body_01000031"", ""center_x"": 47.26240955642483, ""center_y"": 54.87567202890718, ""center_z"": 17.299803516560598, ""material_label"": 9, ""orientation_deg"": 124.44187828219665, ""shape"": ""dike_hemisphere"", ""size_x"": 6.609889496762972, ""size_y"": 9.372426072185188, ""size_z"": 11.012213270905512}]"
analytic_five_body,33,False,1,g001_p000032_empty,empty,birth,1,1231,1231,0.012676925398409367,0.008885824121534824,0.0037911012768745422,False,False,False,"[{""body_id"": ""body_01000032"", ""center_x"": 12.63385582138299, ""center_y"": 36.98229341370944, ""center_z"": 21.024808590600784, ""material_label"": 9, ""orientation_deg"": 55.25495035585992, ""shape"": ""ellipsoid"", ""size_x"": 11.3959386872924, ""size_y"": 15.965647437697456, ""size_z"": 12.79548731684428}]"
analytic_five_body,34,False,1,g001_p000033_empty,empty,birth,1,355,355,0.010852883569896221,0.008885824121534824,0.001967059448361397,False,False,False,"[{""body_id"": ""body_01000033"", ""center_x"": 25.921923939619575, ""center_y"": 29.91868292985692, ""center_z"": 18.611150087224026, ""material_label"": 9, ""orientation_deg"": 143.19978604127047, ""shape"": ""dike_hemisphere"", ""size_x"": 10.208988122002012, ""size_y"": 7.844562040767961, ""size_z"": 8.691293616186567}]"
analytic_five_body,35,False,1,g001_p000034_empty,empty,birth,1,566,566,0.0117193553596735,0.008885824121534824,0.0028335312381386757,False,False,False,"[{""body_id"": ""body_01000034"", ""center_x"": 15.6523148290319, ""center_y"": 5.676085971240174, ""center_z"": 36.31184667836082, ""material_label"": 9, ""orientation_deg"": 157.45947639507557, ""shape"": ""ellipsoid"", ""size_x"": 10.620766067961842, ""size_y"": 9.114811716998187, ""size_z"": 11.282499142412842}]"
analytic_five_body,36,False,1,g001_p000035_empty,empty,birth,1,1165,1165,0.012918495573103428,0.008885824121534824,0.0040326714515686035,False,False,False,"[{""body_id"": ""body_01000035"", ""center_x"": 12.501302603209883, ""center_y"": 48.38844571802242, ""center_z"": 11.70931360279202, ""material_label"": 9, ""orientation_deg"": 178.50468683093086, ""shape"": ""dike_hemisphere"", ""size_x"": 15.114700163832424, ""size_y"": 11.621816942283544, ""size_z"": 13.22246284030209}]"
