case_id,move_type,count,delta_rmse_count,delta_rmse_min,delta_rmse_p01,delta_rmse_p05,delta_rmse_median,delta_rmse_p95,delta_rmse_max,delta_rmse_mean,delta_rmse_lt_zero_count,zero_edit_count,changed_voxels_count,changed_voxels_min,changed_voxels_p01,changed_voxels_p05,changed_voxels_median,changed_voxels_p95,changed_voxels_max,changed_voxels_mean
native_seed20260807,rotate,80,80,0.0006272168830037117,0.0006378976907581091,0.0006965221371501684,0.0009289556182920933,0.001093694660812616,0.0011782171204686165,0.0009157665423117578,0,0,80,170.0,170.79,177.89999999999998,279.0,394.2499999999999,494.0,289.2125
native_seed20260807,translate,80,80,0.0006422307342290878,0.0006455724872648715,0.0006839493755251169,0.000940343365073204,0.0011040485464036466,0.001218642108142376,0.0009215008118189872,0,0,80,166.0,167.57999999999998,178.0,277.5,409.25,496.0,290.8125
native_seed20260808,birth,560,560,0.0005114926025271416,0.0007260319869965314,0.0008890252560377122,0.0019330410286784172,0.003212128952145575,0.004103486426174641,0.001952796778641641,0,0,560,154.0,198.95,266.90000000000003,632.5,1227.5499999999995,1743.0,669.6928571428572
native_seed20260808,change_shape,80,80,0.0005663884803652763,0.0005663884803652763,0.0006964166648685933,0.0008243545889854431,0.0010086588095873593,0.0010512033477425575,0.0008293281309306622,0,0,80,146.0,146.0,173.75,283.0,425.8999999999999,451.0,281.375
native_seed20260808,death,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_seed20260808,resize,80,80,0.0005475571379065514,0.000553802140057087,0.0006034493912011385,0.0007955967448651791,0.000990824494510889,0.0011554043740034103,0.0008115274249576032,0,0,80,112.0,134.12,160.89999999999998,263.0,416.54999999999995,505.0,274.825
native_seed20260808,rotate,80,80,0.0005114926025271416,0.0005118082370609045,0.0006795820314437151,0.0008352356962859631,0.0010318855755031108,0.0010761460289359093,0.0008322220179252327,0,0,80,153.0,153.79000000000002,177.95,274.0,431.0,437.0,281.6375
native_seed20260808,translate,80,80,0.0005644513294100761,0.0006097813043743373,0.0006681711412966252,0.0008313078433275223,0.0010200037620961666,0.001066570170223713,0.0008353040786460042,0,0,80,148.0,153.53,176.95,274.5,427.05,435.0,280.15
native_seed20260809,birth,560,560,0.000530412420630455,0.0006935021653771401,0.0008609811775386335,0.0016860906034708023,0.0029109835624694814,0.0036789420992136,0.0017690208407917193,0,0,560,117.0,192.59,279.95,629.5,1243.6999999999985,1631.0,673.0642857142857
native_seed20260809,change_shape,80,80,0.0005310103297233582,0.0005310103297233582,0.0005991294980049134,0.0008123088628053665,0.000972272455692291,0.0013228189200162888,0.0008187765255570411,0,0,80,125.0,125.0,165.39999999999998,289.5,413.7999999999999,627.0,289.825
native_seed20260809,death,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_seed20260809,resize,80,80,0.0005316883325576782,0.0005681665614247322,0.0005851892754435539,0.0008239094167947769,0.0010229657404124735,0.0013465862721204758,0.0008227169048041106,0,0,80,116.0,116.79,171.85,279.0,410.54999999999984,565.0,290.475
native_seed20260809,rotate,80,80,0.0005621127784252167,0.0005622687563300133,0.0005840398371219635,0.0008116653189063072,0.0009569898247718811,0.0010426603257656097,0.0008043605135753751,0,0,80,117.0,117.0,169.9,281.0,412.9999999999999,654.0,291.125
native_seed20260809,translate,80,80,0.0005304403603076935,0.0005455363728106022,0.0005993036553263664,0.0008127102628350258,0.000948143657296896,0.0010737236589193344,0.0008052544668316841,0,0,80,117.0,131.22,166.9,288.5,412.9999999999999,650.0,292.125
