source_label,destination_label,changed_voxels,condition_violation_count,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae
3,2,14499,0,3.9772534370422363,0.019943051040172577,0.0026157046668231487,3.9772534370422363,0.0026157046668231487
3,4,14499,0,5.311850547790527,0.023047450929880142,0.003075792221352458,5.311850547790527,0.003075792221352458
3,5,14499,0,6.0534796714782715,0.024603819474577904,0.003905388992279768,6.0534796714782715,0.003905388992279768
3,6,14499,0,6.486003875732422,0.025467634201049805,0.004305057693272829,6.486003875732422,0.004305057693272829
3,7,14499,0,6.366915225982666,0.025232745334506035,0.004278608597815037,6.366915225982666,0.004278608597815037
3,8,14499,0,6.234789848327637,0.02496955916285515,0.003524140687659383,6.234789848327637,0.003524140687659383
3,9,14499,0,8.563767433166504,0.029263915494084358,0.005193681456148624,8.563767433166504,0.005193681456148624
3,10,14499,0,6.973696708679199,0.0264077577739954,0.004564652685075998,6.973696708679199,0.004564652685075998
3,11,14499,0,3.1583008766174316,0.017771609127521515,0.0022987083066254854,3.1583008766174316,0.0022987083066254854
3,12,14499,0,6.148525238037109,0.024796219542622566,0.0036996896378695965,6.148525238037109,0.0036996896378695965
3,13,14499,0,6.4666242599487305,0.025429558008909225,0.004407279193401337,6.4666242599487305,0.004407279193401337
4,0,73622,0,24.557802200317383,0.04955582693219185,0.015026780776679516,24.557802200317383,0.015026780776679516
4,1,73622,0,17.633907318115234,0.04199274256825447,0.012056872248649597,17.633907318115234,0.012056872248649597
4,2,73622,0,14.876980781555176,0.03857069090008736,0.010694704949855804,14.876980781555176,0.010694704949855804
4,3,73622,0,14.65068531036377,0.03827621415257454,0.009930712170898914,14.65068531036377,0.009930712170898914
4,5,73622,0,16.676334381103516,0.04083666950464249,0.01094129029661417,16.676334381103516,0.01094129029661417
4,6,73622,0,18.73529624938965,0.04328428953886032,0.012391525320708752,18.73529624938965,0.012391525320708752
4,7,73622,0,20.3084774017334,0.04506492614746094,0.013429485261440277,20.3084774017334,0.013429485261440277
4,8,73622,0,15.643295288085938,0.03955160453915596,0.011226149275898933,15.643295288085938,0.011226149275898933
4,9,73622,0,25.078624725341797,0.05007856339216232,0.014828967861831188,25.078624725341797,0.014828967861831188
4,10,73622,0,20.06014060974121,0.04478855058550835,0.013083860278129578,20.06014060974121,0.013083860278129578
4,11,73622,0,14.168176651000977,0.037640638649463654,0.008365411311388016,14.168176651000977,0.008365411311388016
4,12,73622,0,16.162540435791016,0.04020266234874725,0.009873054921627045,16.162540435791016,0.009873054921627045
4,13,73622,0,20.689420700073242,0.04548562318086624,0.013610690832138062,20.689420700073242,0.013610690832138062
5,0,18850,0,27.412546157836914,0.052356988191604614,0.016247402876615524,27.412546157836914,0.016247402876615524
5,1,18850,0,21.825881958007812,0.04671818017959595,0.014111509546637535,21.825881958007812,0.014111509546637535
5,2,18850,0,18.399595260620117,0.042894747108221054,0.011870959773659706,18.399595260620117,0.011870959773659706
5,3,18850,0,15.173500061035156,0.03895317763090134,0.010399335995316505,15.173500061035156,0.010399335995316505
