sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,seed,local_sample_id
6,13,True,15,0,-15,1.0,0.0,nan,0.0,seed142_sample2,142,2
7,0,False,0,38,38,nan,0.0,0.0,nan,seed142_sample3,142,3
7,1,True,45273,33679,-11594,0.2560908267620878,0.44083509745236876,0.7172421984025654,0.533563050824995,seed142_sample3,142,3
7,2,True,24520,21623,-2897,0.11814845024469821,0.6806162587412588,0.8642186560606762,0.7621125611745514,seed142_sample3,142,3
7,3,True,14533,6308,-8225,0.565953347553843,0.18928326866012327,0.5258402029169309,0.22823917979770178,seed142_sample3,142,3
7,4,True,73801,95155,21354,0.2893456728228615,0.5417522151350069,0.6239188692133887,0.8044470942128156,seed142_sample3,142,3
7,5,True,18902,34667,15765,0.8340387260607343,0.2862631161908421,0.3439005394178902,0.6307269072055867,seed142_sample3,142,3
7,6,True,11543,16,-11527,0.9986138785411072,0.001212646167171936,0.875,0.001212856276531231,seed142_sample3,142,3
7,7,False,0,4,4,nan,0.0,0.0,nan,seed142_sample3,142,3
7,8,False,0,3,3,nan,0.0,0.0,nan,seed142_sample3,142,3
7,9,True,8968,5324,-3644,0.4063336306868867,0.017224199288256227,0.045454545454545456,0.026984834968777877,seed142_sample3,142,3
7,10,False,0,25,25,nan,0.0,0.0,nan,seed142_sample3,142,3
7,11,False,0,711,711,nan,0.0,0.0,nan,seed142_sample3,142,3
7,12,False,0,0,0,nan,nan,nan,nan,seed142_sample3,142,3
7,13,True,15,0,-15,1.0,0.0,nan,0.0,seed142_sample3,142,3
8,0,False,0,586,586,nan,0.0,0.0,nan,seed242_sample0,242,0
8,1,True,45273,30715,-14558,0.32156031188567136,0.42909802151508314,0.742829236529383,0.5039648355531995,seed242_sample0,242,0
8,2,True,24520,21482,-3038,0.12389885807504078,0.7104930467762326,0.8894888744064798,0.7792822185970636,seed242_sample0,242,0
8,3,True,14533,8623,-5910,0.4066607032271382,0.24863844702076032,0.5347326916386408,0.3172779192183307,seed242_sample0,242,0
8,4,True,73801,99892,26091,0.3535317949621279,0.5336182311027133,0.6050134144876467,0.8189048928876302,seed242_sample0,242,0
8,5,True,18902,31170,12268,0.6490318484816422,0.2543400385781207,0.32572986846326596,0.5371389270976616,seed242_sample0,242,0
8,6,True,11543,78,-11465,0.9932426578878975,0.0057988575385148,0.8589743589743589,0.005804383609113749,seed242_sample0,242,0
8,7,False,0,2,2,nan,0.0,0.0,nan,seed242_sample0,242,0
8,8,False,0,1,1,nan,0.0,0.0,nan,seed242_sample0,242,0
8,9,True,8968,4698,-4270,0.47613737734165923,0.06715602061533656,0.18305661983822905,0.09589652096342552,seed242_sample0,242,0
8,10,False,0,153,153,nan,0.0,0.0,nan,seed242_sample0,242,0
8,11,False,0,153,153,nan,0.0,0.0,nan,seed242_sample0,242,0
8,12,False,0,0,0,nan,nan,nan,nan,seed242_sample0,242,0
8,13,True,15,0,-15,1.0,0.0,nan,0.0,seed242_sample0,242,0
9,0,False,0,0,0,nan,nan,nan,nan,seed242_sample1,242,1
9,1,True,45273,32643,-12630,0.2789742230468491,0.4545250896057348,0.7458873265324878,0.5378039891325956,seed242_sample1,242,1
9,2,True,24520,22036,-2484,0.10130505709624796,0.7352864437735287,0.8952169177709203,0.8045269168026101,seed242_sample1,242,1
9,3,True,14533,10411,-4122,0.2836303584944609,0.256561382298121,0.4891941216021516,0.3504438175187504,seed242_sample1,242,1
9,4,True,73801,92452,18651,0.2527201528434574,0.5779368077372082,0.6586336693635616,0.8250836709529681,seed242_sample1,242,1
9,5,True,18902,36913,18011,0.9528621309914295,0.23651387935045082,0.28922059978869236,0.5648079568299651,seed242_sample1,242,1
9,6,True,11543,66,-11477,0.9942822489820671,0.003717793532768459,0.6515151515151515,0.0037252014207744956,seed242_sample1,242,1
9,7,False,0,1,1,nan,0.0,0.0,nan,seed242_sample1,242,1
9,8,False,0,2,2,nan,0.0,0.0,nan,seed242_sample1,242,1
