sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
24,samples/jupyter-demo/paper_cond_gen_0/sample_24.pt,0.15034262835979462,59,0.7876780033111572,0.2681911289691925
25,samples/jupyter-demo/paper_cond_gen_0/sample_25.pt,0.14082229137420654,37,0.8017274737358093,0.25963249802589417
26,samples/jupyter-demo/paper_cond_gen_0/sample_26.pt,0.15511515736579895,67,0.795765221118927,0.2751098871231079
27,samples/jupyter-demo/paper_cond_gen_0/sample_27.pt,0.14993050694465637,58,0.8030129075050354,0.25831952691078186
28,samples/jupyter-demo/paper_cond_gen_0/sample_28.pt,0.12855930626392365,20,0.7898645997047424,0.2694317698478699
29,samples/jupyter-demo/paper_cond_gen_0/sample_29.pt,0.1386103332042694,33,0.7937161326408386,0.25460582971572876
30,samples/jupyter-demo/paper_cond_gen_0/sample_30.pt,0.18780004978179932,96,0.7728269100189209,0.26107245683670044
31,samples/jupyter-demo/paper_cond_gen_0/sample_31.pt,0.15869034826755524,73,0.7959407567977905,0.25286707282066345
32,samples/jupyter-demo/paper_cond_gen_0/sample_32.pt,0.1417955756187439,41,0.8060248494148254,0.28188034892082214
33,samples/jupyter-demo/paper_cond_gen_0/sample_33.pt,0.12497866153717041,15,0.7913872003555298,0.27745845913887024
34,samples/jupyter-demo/paper_cond_gen_0/sample_34.pt,0.12469378113746643,14,0.8074383735656738,0.28143420815467834
35,samples/jupyter-demo/paper_cond_gen_0/sample_35.pt,0.14154879748821259,40,0.8019978404045105,0.2796999216079712
36,samples/jupyter-demo/paper_cond_gen_0/sample_36.pt,0.14133597910404205,38,0.7942189574241638,0.2560238540172577
37,samples/jupyter-demo/paper_cond_gen_0/sample_37.pt,0.11795225739479065,8,0.8054035305976868,0.26498255133628845
38,samples/jupyter-demo/paper_cond_gen_0/sample_38.pt,0.12900704145431519,21,0.8066035509109497,0.260327011346817
39,samples/jupyter-demo/paper_cond_gen_0/sample_39.pt,0.17083412408828735,86,0.7866677045822144,0.25523465871810913
40,samples/jupyter-demo/paper_cond_gen_0/sample_40.pt,0.14397595822811127,46,0.7912449240684509,0.2729901969432831
41,samples/jupyter-demo/paper_cond_gen_0/sample_41.pt,0.15709397196769714,70,0.7975866198539734,0.2834768295288086
42,samples/jupyter-demo/paper_cond_gen_0/sample_42.pt,0.16751495003700256,84,0.8075332045555115,0.2802281081676483
43,samples/jupyter-demo/paper_cond_gen_0/sample_43.pt,0.14891687035560608,54,0.8005179762840271,0.27912527322769165
44,samples/jupyter-demo/paper_cond_gen_0/sample_44.pt,0.16253556311130524,74,0.789366602897644,0.2707805931568146
45,samples/jupyter-demo/paper_cond_gen_0/sample_45.pt,0.1632992923259735,76,0.7773898839950562,0.2478775531053543
46,samples/jupyter-demo/paper_cond_gen_0/sample_46.pt,0.17426994442939758,90,0.7836225032806396,0.26780807971954346
47,samples/jupyter-demo/paper_cond_gen_0/sample_47.pt,0.14439600706100464,48,0.7878629565238953,0.2662188708782196
48,samples/jupyter-demo/paper_cond_gen_0/sample_48.pt,0.11775171756744385,7,0.8079553842544556,0.28537517786026
49,samples/jupyter-demo/paper_cond_gen_0/sample_49.pt,0.1498931348323822,57,0.7938774228096008,0.2600862979888916
50,samples/jupyter-demo/paper_cond_gen_0/sample_50.pt,0.10619955509901047,1,0.817683756351471,0.2752622663974762
51,samples/jupyter-demo/paper_cond_gen_0/sample_51.pt,0.1291601061820984,22,0.805408239364624,0.2815687358379364
52,samples/jupyter-demo/paper_cond_gen_0/sample_52.pt,0.11470109224319458,4,0.8138701915740967,0.2869725525379181
53,samples/jupyter-demo/paper_cond_gen_0/sample_53.pt,0.15750272572040558,71,0.7941192984580994,0.276975154876709
54,samples/jupyter-demo/paper_cond_gen_0/sample_54.pt,0.14628495275974274,50,0.7834233045578003,0.2657175362110138
55,samples/jupyter-demo/paper_cond_gen_0/sample_55.pt,0.12665517628192902,17,0.794788122177124,0.27371886372566223
56,samples/jupyter-demo/paper_cond_gen_0/sample_56.pt,0.11834965646266937,9,0.8147429823875427,0.29140254855155945
57,samples/jupyter-demo/paper_cond_gen_0/sample_57.pt,0.13261131942272186,25,0.8141785264015198,0.269656240940094
58,samples/jupyter-demo/paper_cond_gen_0/sample_58.pt,0.16815511882305145,85,0.7918046116828918,0.27366816997528076
59,samples/jupyter-demo/paper_cond_gen_0/sample_59.pt,0.15069228410720825,60,0.7947786450386047,0.2800271809101105
60,samples/jupyter-demo/paper_cond_gen_0/sample_60.pt,0.1629221886396408,75,0.7973494529724121,0.2836356461048126
61,samples/jupyter-demo/paper_cond_gen_0/sample_61.pt,0.11663172394037247,5,0.7922504544258118,0.27767249941825867
62,samples/jupyter-demo/paper_cond_gen_0/sample_62.pt,0.1445869505405426,49,0.7995218634605408,0.2828095257282257
63,samples/jupyter-demo/paper_cond_gen_0/sample_63.pt,0.15245689451694489,64,0.801533043384552,0.28549742698669434
64,samples/jupyter-demo/paper_cond_gen_0/sample_64.pt,0.1334027647972107,26,0.8017843961715698,0.2836323380470276
65,samples/jupyter-demo/paper_cond_gen_0/sample_65.pt,0.13605357706546783,29,0.7994412183761597,0.27546846866607666
66,samples/jupyter-demo/paper_cond_gen_0/sample_66.pt,0.15531159937381744,68,0.7759716510772705,0.26824235916137695
67,samples/jupyter-demo/paper_cond_gen_0/sample_67.pt,0.1363682746887207,30,0.7974823117256165,0.2957867681980133
68,samples/jupyter-demo/paper_cond_gen_0/sample_68.pt,0.1283426284790039,19,0.8030650615692139,0.2861582040786743
69,samples/jupyter-demo/paper_cond_gen_0/sample_69.pt,0.12231481075286865,10,0.8072486519813538,0.2823961079120636
70,samples/jupyter-demo/paper_cond_gen_0/sample_70.pt,0.13738010823726654,32,0.790756344795227,0.2546871304512024
71,samples/jupyter-demo/paper_cond_gen_0/sample_71.pt,0.15818843245506287,72,0.7882898449897766,0.2515862286090851
72,samples/jupyter-demo/paper_cond_gen_0/sample_72.pt,0.14386782050132751,44,0.7978475093841553,0.2541854977607727
73,samples/jupyter-demo/paper_cond_gen_0/sample_73.pt,0.1800614297389984,92,0.7916718125343323,0.2682685852050781
74,samples/jupyter-demo/paper_cond_gen_0/sample_74.pt,0.11774132400751114,6,0.8163224458694458,0.29099124670028687
75,samples/jupyter-demo/paper_cond_gen_0/sample_75.pt,0.13506923615932465,28,0.8077514171600342,0.28201109170913696
76,samples/jupyter-demo/paper_cond_gen_0/sample_76.pt,0.1556728333234787,69,0.7932987213134766,0.25761541724205017
77,samples/jupyter-demo/paper_cond_gen_0/sample_77.pt,0.18029336631298065,93,0.7894092798233032,0.27237316966056824
78,samples/jupyter-demo/paper_cond_gen_0/sample_78.pt,0.1142563670873642,2,0.8133484721183777,0.28881290555000305
79,samples/jupyter-demo/paper_cond_gen_0/sample_79.pt,0.1296909898519516,23,0.7928339242935181,0.27568134665489197
80,samples/jupyter-demo/paper_cond_gen_0/sample_80.pt,0.11440172046422958,3,0.8008642196655273,0.28159645199775696
81,samples/jupyter-demo/paper_cond_gen_0/sample_81.pt,0.1647438257932663,78,0.7857332825660706,0.2949022650718689
82,samples/jupyter-demo/paper_cond_gen_0/sample_82.pt,0.1468297392129898,51,0.8073909282684326,0.285253643989563
83,samples/jupyter-demo/paper_cond_gen_0/sample_83.pt,0.12503841519355774,16,0.8046351075172424,0.2808641791343689
84,samples/jupyter-demo/paper_cond_gen_0/sample_84.pt,0.1341528743505478,27,0.8035678863525391,0.263593852519989
85,samples/jupyter-demo/paper_cond_gen_0/sample_85.pt,0.1834784299135208,95,0.796177864074707,0.2737099826335907
86,samples/jupyter-demo/paper_cond_gen_0/sample_86.pt,0.1241004467010498,11,0.797833263874054,0.2742956280708313
87,samples/jupyter-demo/paper_cond_gen_0/sample_87.pt,0.1820325255393982,94,0.7971882224082947,0.2780185043811798
88,samples/jupyter-demo/paper_cond_gen_0/sample_88.pt,0.16570496559143066,80,0.7703936100006104,0.26018521189689636
89,samples/jupyter-demo/paper_cond_gen_0/sample_89.pt,0.14959970116615295,56,0.778969407081604,0.2636528015136719
90,samples/jupyter-demo/paper_cond_gen_0/sample_90.pt,0.16691303253173828,83,0.7795148491859436,0.2675897181034088
91,samples/jupyter-demo/paper_cond_gen_0/sample_91.pt,0.18951651453971863,97,0.7997211217880249,0.27747735381126404
92,samples/jupyter-demo/paper_cond_gen_0/sample_92.pt,0.13175247609615326,24,0.8067648410797119,0.28325513005256653
93,samples/jupyter-demo/paper_cond_gen_0/sample_93.pt,0.14410927891731262,47,0.7919706106185913,0.29443639516830444
94,samples/jupyter-demo/paper_cond_gen_0/sample_94.pt,0.143205925822258,43,0.7900922894477844,0.2733372151851654
95,samples/jupyter-demo/paper_cond_gen_0/sample_95.pt,0.14394547045230865,45,0.7982696890830994,0.2597614824771881
96,samples/jupyter-demo/paper_cond_gen_0/sample_96.pt,0.13993783295154572,35,0.8072201609611511,0.28563350439071655
97,samples/jupyter-demo/paper_cond_gen_0/sample_97.pt,0.1755157709121704,91,0.7976767420768738,0.2781740427017212
98,samples/jupyter-demo/paper_cond_gen_0/sample_98.pt,0.13968130946159363,34,0.803487241268158,0.28347691893577576
99,samples/jupyter-demo/paper_cond_gen_0/sample_99.pt,0.15290163457393646,65,0.7805251479148865,0.26915910840034485
