role,sample_id,from_label,to_label,voxel_count,is_changed
ratio200,4,9,4,1242,True
ratio200,4,9,5,531,True
ratio200,4,9,6,181,True
ratio200,4,9,7,129,True
ratio200,4,9,8,182,True
ratio200,4,9,9,1537,False
ratio200,4,9,10,201,True
ratio200,4,9,11,378,True
ratio200,4,9,12,114,True
ratio200,4,9,13,82,True
ratio200,4,10,0,4,True
ratio200,4,10,1,9,True
ratio200,4,10,2,13,True
ratio200,4,10,3,13,True
ratio200,4,10,4,17,True
ratio200,4,10,5,12,True
ratio200,4,10,6,4,True
ratio200,4,10,7,4,True
ratio200,4,10,8,6,True
ratio200,4,10,9,1,True
ratio200,4,10,10,62,False
ratio200,4,10,11,10,True
ratio200,4,10,12,5,True
ratio200,4,10,13,1,True
ratio200,4,11,1,2,True
ratio200,4,11,2,2,True
ratio200,4,11,4,2,True
ratio200,4,11,5,1,True
ratio200,4,11,8,1,True
ratio200,4,11,11,10,False
ratio400,5,-1,-1,64589,False
ratio400,5,0,0,37,False
ratio400,5,0,1,31,True
ratio400,5,0,2,33,True
ratio400,5,0,3,41,True
ratio400,5,0,4,41,True
ratio400,5,0,5,24,True
ratio400,5,0,6,8,True
ratio400,5,0,7,7,True
ratio400,5,0,8,10,True
ratio400,5,0,9,2,True
ratio400,5,0,10,8,True
ratio400,5,0,11,31,True
ratio400,5,0,12,9,True
ratio400,5,0,13,9,True
ratio400,5,1,-1,1,True
ratio400,5,1,0,201,True
ratio400,5,1,1,17337,False
ratio400,5,1,2,2095,True
ratio400,5,1,3,2761,True
ratio400,5,1,4,3886,True
ratio400,5,1,5,2394,True
ratio400,5,1,6,1064,True
ratio400,5,1,7,168,True
ratio400,5,1,8,899,True
ratio400,5,1,9,280,True
ratio400,5,1,10,671,True
ratio400,5,1,11,2975,True
ratio400,5,1,12,1271,True
ratio400,5,1,13,151,True
ratio400,5,2,-1,1,True
ratio400,5,2,0,289,True
ratio400,5,2,1,602,True
ratio400,5,2,2,16503,False
ratio400,5,2,3,627,True
ratio400,5,2,4,894,True
ratio400,5,2,5,896,True
ratio400,5,2,6,421,True
ratio400,5,2,7,375,True
ratio400,5,2,8,362,True
ratio400,5,2,9,152,True
ratio400,5,2,10,318,True
ratio400,5,2,11,593,True
ratio400,5,2,12,427,True
ratio400,5,2,13,351,True
ratio400,5,3,0,109,True
ratio400,5,3,1,113,True
ratio400,5,3,2,83,True
ratio400,5,3,3,3767,False
ratio400,5,3,4,311,True
ratio400,5,3,5,235,True
ratio400,5,3,6,151,True
ratio400,5,3,7,109,True
ratio400,5,3,8,78,True
ratio400,5,3,9,57,True
ratio400,5,3,10,107,True
ratio400,5,3,11,143,True
ratio400,5,3,12,93,True
ratio400,5,3,13,69,True
ratio400,5,4,0,2525,True
ratio400,5,4,1,3595,True
ratio400,5,4,2,2941,True
ratio400,5,4,3,2426,True
ratio400,5,4,4,62392,False
ratio400,5,4,5,2714,True
ratio400,5,4,6,2413,True
ratio400,5,4,7,3102,True
ratio400,5,4,8,2764,True
ratio400,5,4,9,1272,True
ratio400,5,4,10,2174,True
ratio400,5,4,11,1456,True
ratio400,5,4,12,781,True
ratio400,5,4,13,2593,True
ratio400,5,5,-1,1,True
ratio400,5,5,0,849,True
ratio400,5,5,1,1491,True
ratio400,5,5,2,1700,True
ratio400,5,5,3,1748,True
ratio400,5,5,4,2354,True
ratio400,5,5,5,18510,False
ratio400,5,5,6,407,True
ratio400,5,5,7,1131,True
ratio400,5,5,8,1336,True
ratio400,5,5,9,227,True
ratio400,5,5,10,367,True
ratio400,5,5,11,1594,True
ratio400,5,5,12,427,True
ratio400,5,5,13,842,True
ratio400,5,6,0,3,True
ratio400,5,6,1,31,True
ratio400,5,6,2,30,True
ratio400,5,6,3,31,True
ratio400,5,6,4,36,True
ratio400,5,6,5,31,True
ratio400,5,6,6,80,False
ratio400,5,6,7,9,True
ratio400,5,6,8,5,True
ratio400,5,6,10,3,True
ratio400,5,6,11,13,True
ratio400,5,6,12,7,True
ratio400,5,6,13,1,True
ratio400,5,9,0,93,True
ratio400,5,9,1,440,True
ratio400,5,9,2,509,True
ratio400,5,9,3,663,True
ratio400,5,9,4,1204,True
ratio400,5,9,5,712,True
ratio400,5,9,6,310,True
ratio400,5,9,7,148,True
ratio400,5,9,8,264,True
ratio400,5,9,9,509,False
ratio400,5,9,10,281,True
ratio400,5,9,11,752,True
ratio400,5,9,12,259,True
ratio400,5,9,13,139,True
ratio400,5,10,0,2,True
ratio400,5,10,1,12,True
ratio400,5,10,2,16,True
ratio400,5,10,3,21,True
ratio400,5,10,4,25,True
ratio400,5,10,5,18,True
ratio400,5,10,6,3,True
ratio400,5,10,8,11,True
ratio400,5,10,9,1,True
ratio400,5,10,10,19,False
ratio400,5,10,11,23,True
ratio400,5,10,12,6,True
ratio400,5,10,13,4,True
ratio400,5,11,1,2,True
ratio400,5,11,4,1,True
ratio400,5,11,5,1,True
ratio400,5,11,6,2,True
ratio400,5,11,8,1,True
ratio400,5,11,11,11,False
